index,spkid,IPA,AgeMonth,Register,time_start,duration(ms),F1,F2,dF1,dF2,ddF1,ddF2
0,FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,383.7428286283647,2058.964369247532,-7.626114580600792,15.24494545043661,-16.988976129583836,13.20526417008806
1,FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,384.6112021125559,2067.606682612925,-7.626114580600804,15.244945450436777,-16.988976129584216,13.205264170086593
2,FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,368.49059946716307,2089.4542601484054,-7.839665920903135,18.182641713581294,16.5618734489791,-7.329871643799379
3,FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,368.9318702707496,2103.9719660400874,-2.294566471284033,6.489608374449123,-5.471674549741238,-16.056195034467237
4,FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,363.901466524595,2102.4334768973035,-2.4329976741574812,-8.994814590265548,5.194812143994113,-14.912650894964827
5,FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,364.0658749224346,2085.982336859556,-2.432997674157501,-8.994814590265827,5.194812143994151,-14.912650894963603
6,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,316.90175566825224,773.2587499502935,-2.8576278198964684,-14.636906666268208,24.558383511765832,3.6701225516219096
7,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,301.7649360924729,756.7867820082146,-2.8576278198964564,-14.636906666268128,24.558383511765555,3.6701225516212617
8,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,311.1865000284593,743.9849366177572,11.874361845744698,-5.54399429855304,4.90559581951652,14.515702183808571
9,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,325.5136597839623,745.6987934111085,11.552089616027995,-4.421043571900933,-5.550140278950039,-12.269800730504585
10,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,334.2906792605153,735.1428494739553,20.927100545484834,-15.335712861467739,24.300162137863595,-9.559537848629361
11,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,367.3678608749319,715.027367688173,14.741113133553469,-9.225705789321562,-36.67213696172655,21.779551992921142
12,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,363.7729055276222,716.6914378953121,-20.191872414618153,30.711680947507745,-33.193834134616964,58.09522148073711
13,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,326.9841160456956,776.4507295831884,-26.655584810240637,49.41504385134741,20.26640934337172,-20.68849567305824
14,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,310.4617359071409,815.5215255980069,-14.216532500051267,16.21274754710529,4.611695277006788,-45.716096935427004
15,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,298.55105104559306,808.8762246773989,-15.547926930756967,5.224130954837472,-7.274484138418302,23.73886375089046
16,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,279.36588204562696,825.9697875076818,18.12208523738253,116.7975884578492,74.61450847469712,199.40805125513225
17,FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,334.7952215203581,1042.4714015930972,39.82917764996928,179.90821425902863,-31.200323649523853,-73.1867996527742
21,FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,296.46219082524715,886.3327313204293,4.71330871114243,40.39707763222758,28.03660106544327,129.4402279847203
22,FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,287.1571990036679,862.0096949602969,4.713308711142426,40.397077632227735,28.036601065443165,129.44022798471974
23,FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,305.888808247532,967.1268865848847,29.332401897850772,53.26254855207155,21.201585307973232,-103.70928614503305
24,FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,345.82200279936944,968.5347920644399,48.47997872400557,106.68461786623737,17.093568344336177,210.55342477336353
25,FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,402.8487656955431,1180.4961223173593,33.55273585332454,83.1482390833118,-46.94805408569846,-257.62618233921603
26,FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,412.9274745060185,1134.8312702310634,-26.436186242532525,-213.27541871621267,-73.02979010601621,-335.221133259834
27,FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,349.976393210478,753.945284884934,-38.89198749446942,-167.29134929695164,48.118187602141916,427.1892720983551
28,FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,335.14349951707965,800.2485716371601,-38.891987494469426,-167.29134929695164,48.11818760214222,427.1892720983553
29,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,349.98285209406674,778.0291797412931,-6.040132532933603,-29.97112358705702,-14.606904871998688,-28.05088660796337
30,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,351.2461719971325,762.0834994582178,-6.0401325329335895,-29.971123587056965,-14.606904871998836,-28.050886607963776
31,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,337.90258702819955,718.0869325671791,-12.306531975908792,-22.212039787876716,2.0741059860481528,43.5690542063237
32,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,326.6331080453149,717.6594198824644,-10.843874127423128,-14.867674478687816,0.8512097109229444,-28.88032358794635
33,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,316.2148387733533,688.3515836098035,-12.765111991800206,-18.113917576883452,-4.693685439677324,22.387837391554513
34,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,301.10288406171446,681.4315847286974,-23.861371475313373,43.75607904250418,-17.498833527349234,101.35215584722027
35,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,268.4920958227265,775.8637416948118,-27.268287389735278,168.45855119669318,10.685001698505175,148.0527884611572
36,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,246.5663092822439,1018.3486871220837,17.42544088686601,239.3315932986105,78.70245485469712,-6.3067042573234176
37,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,303.3429775964585,1254.5269282920326,39.109602359126455,203.76036215690075,-35.33413191017644,-64.83575802609676
38,FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,324.7855140004968,1425.869411435885,39.109602359126434,203.7603621569005,-35.334131910176424,-64.83575802609684
39,FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,339.48239942070177,2034.5745997429085,2.4127153933574315,-177.57833609267334,-9.981594683996814,-374.9573452021105
40,FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,346.88591215605766,2044.4749362512907,2.412715393357455,-177.57833609267342,-9.98159468399706,-374.95734520211226
41,FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,344.30783020741666,1679.4179275575616,-3.0407171337558534,-182.5533860523171,-0.9252703702297822,365.0072452828231
42,FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,340.80447788854593,1679.3681641466565,1.267143770516678,178.58653243596265,9.540992178774673,357.2725916937343
43,FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,346.84211774845,2036.5909924294867,5.198223197531814,158.10015227981907,-1.6788333247445735,-398.2453520060235
44,FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,351.20092428360954,1995.5684687062944,5.198223197531773,158.10015227981907,-1.6788333247444167,-398.2453520060218
45,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,401.4428211691115,1200.0223108825733,-28.339430385573962,-254.7253173530224,-21.27253290497678,-269.28937201473997
46,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,383.7396572360259,1079.9416795369207,-28.339430385573987,-254.72531735302252,-21.27253290497697,-269.28937201474037
47,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,344.7639603979635,690.5716761765283,-5.980094233559205,-77.5815256504834,65.99120520900624,623.5769554198178
48,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,371.77946876890746,924.7786282359539,16.963195021256,72.8748243419614,-20.104626699376126,-322.6642554349287
49,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,378.69035044047547,836.321324860451,17.432317759918263,-30.142131510675977,21.042872176700484,116.6303437296533
50,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,406.64410428874396,864.4943652146019,7.668082642105033,-86.89707368677692,-40.57134241232711,-230.1402280818561
51,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,394.0265157246855,662.5271774868971,5.404682947956286,-87.99563131116412,36.04454302402928,227.94311283308093
52,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,417.4534701846565,688.5031025922736,1.7401939867676055,12.771480793914316,-43.373520946406984,-26.408888622924678
53,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,397.5069036982207,688.0701390747257,-14.032059749741272,-9.89676759268404,11.82901347338884,-18.92760815027259
54,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,389.38935068517395,668.7095674069055,-4.96878381018944,-4.436955919246412,6.297538405714363,29.847231497147277
55,FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,387.5693360778418,679.1962272362329,-13.178143394943412,25.457879863645328,-22.716257575222812,29.942440068635733
