index,spkid,IPA,AgeMonth,Register,time_start,duration(ms),F1,F2,dF1,dF2,ddF1,ddF2
0,MADS101,i,12,ADS,6.64,100.00000000000054,356.9036307859292,2305.426848940303,1.0995460728136248,-16.675672327688304,5.81796562894553,191.2972895423171
1,MADS101,i,12,ADS,6.64,100.00000000000054,355.0941940442702,2193.1025318414568,1.0995460728136763,-16.675672327688005,5.817965628945217,191.2972895423154
2,MADS101,i,12,ADS,6.64,100.00000000000054,359.1027229315565,2272.075504284927,1.345340942247883,77.51653231458052,-5.326375890076974,-2.912880257780671
3,MADS101,i,12,ADS,6.64,100.00000000000054,357.7848759287659,2348.1355964706177,2.0365602339442535,106.06334469824957,6.708814473469488,60.006505025115985
4,MADS101,i,12,ADS,6.64,100.00000000000054,363.175843399445,2484.202193681426,-2.0956691911263663,-22.022404018594834,-14.97327332361101,-316.178002458807
5,MADS101,i,12,ADS,6.64,100.00000000000054,353.5935375465132,2304.090788433428,-5.584792117113258,-142.6496054395586,7.995027471636945,74.92359961687725
6,MADS101,i,12,ADS,6.64,100.00000000000054,352.00625916521847,2198.9029828023085,-3.8470316215779032,-57.388268935322635,-4.51950648056652,95.59907339159236
7,MADS101,i,12,ADS,6.64,100.00000000000054,345.89947430335735,2189.3142505627825,-3.8470316215779365,-57.38826893532287,-4.519506480566296,95.59907339159292
8,MADS101,u,12,ADS,8.32,230.00000000000043,348.02685597724707,796.7079372485202,-7.599956586966565,-9.42857587084654,-10.43350787748477,44.98211932639607
9,MADS101,u,12,ADS,8.32,230.00000000000043,345.643653329023,764.7883017144759,-7.5999565869665195,-9.428575870846467,-10.433507877484999,44.98211932639538
10,MADS101,u,12,ADS,8.32,230.00000000000043,332.826942803314,777.8507855068273,-16.352368740258548,-7.307603921281194,-7.071316429099284,-40.74017542726574
11,MADS101,u,12,ADS,8.32,230.00000000000043,312.93891584850587,750.1730938719135,-3.6282038178859386,-22.901724224377215,32.51964627384427,9.551934821072791
12,MADS101,u,12,ADS,8.32,230.00000000000043,325.5705351675421,732.0473370580728,13.051546253911807,30.961288763326507,0.8398538697509821,98.17409115433406
13,MADS101,u,12,ADS,8.32,230.00000000000043,339.04200835632946,812.0956713985664,13.729073480287537,34.95085088726606,0.5152005830002508,-90.19496690645542
14,MADS101,u,12,ADS,8.32,230.00000000000043,353.02868212811717,801.9490388326049,-6.806699509775561,-79.23404722298191,-41.58674656312667,-138.1748293140413
15,MADS101,u,12,ADS,8.32,230.00000000000043,325.4286093367783,653.6275769526026,-13.091049806893773,-68.40436409695684,29.01804596889008,159.83419556609056
16,MADS101,u,12,ADS,8.32,230.00000000000043,326.8465825143296,665.1403106386912,0.04588979648804978,8.537013949991339,-2.7441667621266106,-5.9514394721948065
17,MADS101,u,12,ADS,8.32,230.00000000000043,325.5203889297544,670.7016048525852,-10.79027934551268,4.637010128279675,-18.928171521875015,-1.8485681712288624
18,MADS101,u,12,ADS,8.32,230.00000000000043,305.26602382330424,674.4143308952505,-9.338791763809631,5.16147653847033,21.83114668528094,2.8975009916098315
19,MADS101,u,12,ADS,8.32,230.00000000000043,306.8428054021351,681.0245579295258,5.394524333894263,27.0413561436479,7.635485510126614,40.86225821874473
20,MADS101,u,12,ADS,8.32,230.00000000000043,316.05507249109274,728.4970431825462,6.6725931968605146,37.35309881801473,-5.079347784194397,-20.238772870011644
21,MADS101,u,12,ADS,8.32,230.00000000000043,320.18799179585614,755.7307555655552,11.28114289968887,43.90862484143233,14.296447189850824,33.3498249168465
22,MADS101,u,12,ADS,8.32,230.00000000000043,338.61735829047046,816.3142928654108,14.680108507531555,48.254997782981924,-7.498515974165684,-24.657079033747777
23,MADS101,u,12,ADS,8.32,230.00000000000043,349.5482088109192,852.240751131519,47.36482818413059,133.62807065370583,72.86795532736357,195.40322477519476
24,MADS101,u,12,ADS,8.32,230.00000000000043,433.3470146587316,1083.5704341728224,86.8537229658973,279.4724958065099,6.109834236169604,96.28562553041229
