index,spkid,IPA,AgeMonth,Register,time_start,duration(ms),F1,F2,dF1,dF2,ddF1,ddF2
0,AF,i,20,ADS,1.999973207740104,62.07578095420008,415.92766990601865,1784.0782521364463,-50.543169449116085,-3.1771057960999314,-41.52181274522902,28.652277383111254
1,AF,i,20,ADS,1.999973207740104,62.07578095420008,386.145406829517,1766.5750076487907,-50.543169449116135,-3.1771057960999745,-41.52181274522923,28.65227738311023
2,AF,i,20,ADS,1.999973207740104,62.07578095420008,314.8413310077864,1777.7240405442462,-62.20302133015719,25.155476605932847,18.202108983146786,28.012887420953575
3,AF,i,20,ADS,1.999973207740104,62.07578095420008,261.73936416920264,1816.8859608606563,-62.203021330157185,25.155476605932705,18.202108983146765,28.01288742095453
4,AF,u,20,ADS,12.45924581470233,89.17929094828558,422.3680568129363,822.5615537743334,-11.786667958040113,-12.37832726660192,-5.213354426143968,17.837393730574654
5,AF,u,20,ADS,12.45924581470233,89.17929094828558,413.1880660679681,801.2645296424442,-11.786667958040104,-12.378327266601937,-5.213354426144065,17.837393730573922
6,AF,u,20,ADS,12.45924581470233,89.17929094828558,398.79472089685606,797.8048992411295,-21.592043987880963,-38.2753084826832,-14.397397633538162,-69.63135616273757
7,AF,u,20,ADS,12.45924581470233,89.17929094828558,370.0039780922062,724.7139126770778,0.5778293397804466,-19.773702606817704,58.73714428886046,106.63456791446765
8,AF,u,20,ADS,12.45924581470233,89.17929094828558,399.95037957641694,758.2574940274941,49.89424141463965,174.28684863564416,39.895679860857626,281.48653457045566
9,AF,u,20,ADS,12.45924581470233,89.17929094828558,469.79246092148543,1073.287609948366,36.134811918885525,210.66721354432812,-67.41453885236626,-208.72580475308814
10,AF,u,20,ADS,12.45924581470233,89.17929094828558,472.22000341418794,1179.5919211161502,36.1348119188855,210.66721354432815,-67.41453885236606,-208.72580475308774
11,AF,i,20,ADS,19.53247030960732,77.81330288625199,472.35898059074026,2804.217744953757,-20.62100817622965,-299.4419915724321,-43.45422077484423,-278.7063431422417
12,AF,i,20,ADS,19.53247030960732,77.81330288625199,473.4650828019327,2644.128924952446,-20.62100817622964,-299.44199157243224,-43.454220774844316,-278.7063431422439
13,AF,i,20,ADS,19.53247030960732,77.81330288625199,431.11696423828096,2205.3337618088926,-34.50984579619739,-421.1798190939035,15.676545534908428,35.230688099299186
14,AF,i,20,ADS,19.53247030960732,77.81330288625199,404.4453912095379,1801.7692867646392,167.69924685434106,-106.69776017399315,388.74163976616796,593.7334297405196
15,AF,i,20,ADS,19.53247030960732,77.81330288625199,766.515457946963,1991.9382414609063,284.8973466373968,146.66497924866061,-154.34544020005683,-87.00795089521398
16,AF,i,20,ADS,19.53247030960732,77.81330288625199,974.2400844843314,2095.0992452619603,284.89734663739665,146.66497924866044,-154.34544020005634,-87.0079508952143
22,AF,a,20,ADS,28.37301182021075,124.43929074362714,969.831469625312,1756.4693874068037,-36.98488529260125,-43.25121368371765,-1.2051251447418827,160.41172641249278
23,AF,a,20,ADS,28.37301182021075,124.43929074362714,933.4491469050818,1633.0123105168398,-36.98488529260121,-43.25121368371739,-1.2051251447423965,160.41172641249204
24,AF,a,20,ADS,28.37301182021075,124.43929074362714,895.8616990401096,1669.9669600393688,-47.16361933726715,-4.92872583864978,-19.152342944590373,-83.76675072235867
25,AF,a,20,ADS,28.37301182021075,124.43929074362714,839.1219082305474,1623.15485883954,-11.205069166762122,33.00988401263253,91.06944328559939,159.64397042492146
