spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,dmfcc1,dmfcc2,dmfcc3,dmfcc4,dmfcc5,dmfcc6,dmfcc7,dmfcc8,dmfcc9,dmfcc10,dmfcc11,dmfcc12,dmfcc13
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-504.13794,187.93365,87.11107,23.278324,-12.542273,-19.612957,-2.823526,-5.218776,-5.6166067,-18.818447,0.38146913,4.439587,-24.638065,295.6245,295.6245,-82.32767,-49.82667,-21.44564,4.859373,7.1970906,-1.3965404,-6.7998357,2.999038,11.629017,-12.509768,-12.509768
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-502.89883,181.67532,81.62305,23.974884,-14.351382,-16.512016,-0.2131745,-7.1662245,-8.377222,-13.508755,3.830984,0.8314278,-21.866974,292.26096,292.26096,-78.85022,-47.987213,-20.24345,7.0691037,4.672896,-4.0820236,-3.1712651,6.104103,7.170091,-12.848979,-12.848979
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-504.559,182.23071,76.91541,19.225521,-18.009426,-19.111725,-3.1534681,-4.637945,-5.916606,-18.71475,0.87876046,-2.013406,-24.986883,290.7372,290.7372,-81.502594,-47.46242,-19.168623,7.427979,7.23689,-1.3815689,-7.0384026,3.3976831,8.350672,-12.932822,-12.932822
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-504.01453,185.69237,72.66962,21.342777,-17.875633,-17.28056,-7.936364,-1.2995702,-4.3158264,-15.003327,-0.31806457,-8.054941,-26.751373,288.34207,288.34207,-82.1748,-45.272625,-19.311668,4.9696345,7.9904947,1.8102689,-6.8518786,1.9988809,3.474193,-13.216655,-13.216655
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-512.3996,189.25793,73.1124,17.983778,-27.522228,-21.285088,5.647972,7.228366,-11.407513,-22.698587,-6.8837967,-9.038948,-28.15191,292.756,292.756,-85.63708,-50.317314,-19.634434,16.5851,14.256727,-8.527742,-14.963477,2.261858,6.8298197,-10.634057,-10.634057
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-536.3943,192.0362,70.40784,18.120808,-20.318073,-9.040776,1.0285472,13.700403,-6.7545495,-20.981787,-6.671382,-16.850115,-26.26509,303.40106,303.40106,-86.957695,-45.362957,-13.580792,10.67331,11.37059,-3.8915484,-17.341095,0.041583776,2.065836,-9.796855,-9.796854
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-588.3352,196.11511,81.695724,18.086449,-7.9526834,3.51798,-1.2338543,20.515707,-12.023454,-27.501677,-7.958896,-19.280655,-24.270916,335.01547,335.01547,-89.014336,-44.824203,-7.2842345,3.3594146,8.498863,-5.3947997,-24.008692,2.0322788,4.110511,-8.15601,-8.15601
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-606.16425,179.0769,60.54144,4.5111303,-14.790224,6.0674276,10.098412,22.918781,-7.6697683,-19.232914,-12.250361,-17.477676,-10.410439,333.35284,333.35284,-87.28289,-37.665833,0.77814865,12.444318,8.425677,-8.88409,-21.075848,-2.2902966,0.8776188,0.91996145,0.91996145
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-605.8766,179.1474,32.685913,0.8914494,14.395733,27.236385,6.565937,0.6275772,-5.353529,-13.961004,-16.447603,-7.4734373,0.78747904,319.28125,319.28125,-89.127975,-9.14509,13.172468,-3.914898,-13.304404,-5.959733,-7.2942905,-5.547037,3.2437835,8.617541,8.617541
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-603.2535,170.58344,20.339333,-6.283274,1.91464,4.9995356,-3.9716167,4.915293,1.5995622,5.623779,4.176067,-3.0503411,-13.960343,311.79642,311.79642,-88.43336,-9.212346,5.641405,-2.9431283,-0.042121172,2.7855895,0.3542428,1.2882524,-4.33706,-9.068205,-9.068205
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-624.5723,161.04602,28.749,4.9537244,-3.9315515,1.5319331,6.6413345,14.285366,8.946344,-1.8523829,-0.0138708055,-0.73362964,-9.529606,326.66068,326.66068,-78.04615,-16.340277,-1.7108957,5.286443,6.3767166,1.1525049,-8.068874,-4.480108,0.55937666,-4.7578673,-4.7578673
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-635.2783,141.83154,19.989761,-1.5405915,-1.1694183,1.6572626,7.530534,5.247698,-10.69401,-11.634411,13.480661,0.91212505,-12.179133,327.63403,327.63403,-71.686066,-10.57959,1.598927,4.349976,1.7952176,-9.112272,-8.441054,12.087336,6.2732677,-12.829898,-12.829897
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-411.63333,101.00348,20.98603,18.770962,6.063879,-4.819187,-13.630581,-16.0998,-12.474279,-4.9628887,-0.40081754,-0.38750657,-2.2768898,216.30968,216.30968,-41.11626,-7.461076,-11.795074,-9.84723,-5.6403065,0.57815075,5.5684557,6.036731,2.287691,-0.93803614,-0.93803614
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-552.5175,183.60904,64.247765,22.79903,-0.9882369,0.22576845,8.05509,2.5026388,-13.840273,-22.69598,-23.500742,-15.471777,-8.317855,308.38263,308.38263,-80.40501,-32.618,-11.286631,4.5216637,1.1384352,-10.947681,-12.59931,-4.8302345,3.6121016,7.5914435,7.5914435
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-595.3766,213.12257,78.2153,3.537365,-3.7068462,3.5067701,13.650755,4.69074,-23.396729,-25.98384,-19.591715,-0.044912383,-29.39909,336.79596,336.79596,-104.7926,-40.961075,-0.015297413,8.678801,0.591985,-18.523743,-15.337291,1.9025068,12.969464,-4.9036875,-4.9036875
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-594.07715,215.99956,76.074295,13.933897,-6.253194,-4.9147034,4.607792,12.140404,-18.808775,-24.705688,-10.855387,-1.0594763,-34.187843,335.0757,335.0757,-101.03283,-41.163746,-9.4243,5.430493,8.527554,-11.708283,-18.423046,3.976694,11.823106,-11.666228,-11.666228
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-612.2692,211.62769,84.118256,18.834953,-1.5631298,-9.105169,-4.3668513,13.142542,-24.919971,-18.799877,-14.362349,-1.391156,-15.627855,348.19376,348.19376,-96.39637,-42.840694,-13.970061,-1.4018608,11.123856,-10.27656,-15.97121,5.2788115,8.704361,-0.6327534,-0.6327534
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-590.34314,213.26706,67.56787,19.99229,-5.013169,-9.409332,-8.611795,-1.2801352,-14.523653,-18.391365,-12.088307,-1.4617724,-25.15243,328.9555,328.9555,-96.63738,-36.29052,-14.700811,-1.7993133,4.0645986,-2.9559288,-8.555615,1.2176728,8.464796,-6.532061,-6.532061
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-611.64734,211.86761,87.07134,21.016739,-14.169812,-4.0617933,0.88997376,-5.7472153,-20.41178,-15.394955,-4.099165,0.9739075,-32.819233,349.35934,349.35934,-95.42544,-50.62058,-12.539267,7.529893,-0.842711,-10.650877,-4.8238697,8.156307,8.184431,-14.360034,-14.360034
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-586.7215,212.88867,71.629105,20.487669,-11.230206,-14.557425,-0.3171941,-10.107687,-7.81971,-16.515373,-13.483511,6.240183,-21.043991,329.1753,329.1753,-96.2005,-41.429657,-17.522547,5.456506,2.2248688,-3.751258,-3.203843,-2.8319006,11.377778,-3.78024,-3.78024
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-573.26776,210.96036,66.01211,18.585155,-14.781073,-18.236897,1.2338377,-5.85448,-10.586079,-16.438244,-14.189701,-1.337713,-28.214172,319.63992,319.63992,-96.1876,-40.39659,-18.411026,8.007455,6.1912084,-5.9099584,-5.291882,-1.8018112,7.5502653,-7.0122356,-7.0122356
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-420.82892,130.871,33.465008,18.711807,7.624748,2.1212952,-7.7730665,-12.62734,-8.57879,-10.8047085,-7.6458035,-7.2267265,-5.2152963,227.14696,227.14696,-56.079597,-12.92013,-8.295256,-7.6989074,-7.3743176,-0.4028616,0.9113159,0.46649313,1.788991,1.2152536,1.2152536
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-379.95465,124.6093,40.604244,29.832708,7.5798445,-12.20009,-21.526787,-19.92252,-9.663168,-3.9069362,-3.419189,-2.144172,-8.440296,210.27945,210.27945,-47.388294,-16.5122,-21.0164,-14.553316,-3.8612146,5.9318094,8.0077915,3.1219895,0.8813821,-2.5105536,-2.5105536
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-485.58994,159.50558,57.385117,11.893742,-29.587357,-18.175802,-13.930723,-20.037773,-33.358143,-21.28012,-20.40978,-6.067383,-26.203053,271.48752,271.48752,-73.80592,-43.486237,-15.034772,7.8283167,-0.93098545,-9.71371,-0.62117386,6.474181,7.606369,-2.896636,-2.896636
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-503.66592,173.6809,70.972015,10.674501,-35.932724,-22.963322,-10.014685,-26.48116,-28.423859,-12.128649,-15.361403,2.7826188,-27.424124,287.31897,287.31897,-81.5032,-53.45237,-16.818913,12.95902,-1.7589188,-9.204587,7.176255,6.5312276,7.4556336,-6.03136,-6.03136
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-513.84326,174.2054,78.56227,20.790089,-32.59916,-27.073141,-4.035817,-32.329517,-28.966171,-10.374365,-3.4487822,4.8363614,-27.202143,296.20276,296.20276,-76.70766,-55.580715,-23.931616,14.281672,-2.6281881,-12.465178,10.977576,12.758695,7.6053634,-11.87668,-11.87668
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-524.25336,184.95927,84.57476,16.166462,-39.65184,-34.972443,4.038473,-27.359644,-24.454689,-10.723852,-8.180673,5.056385,-24.098526,304.41406,304.41406,-84.39641,-62.1133,-25.569452,21.845158,3.8063993,-14.246581,8.317896,8.137009,7.8901186,-7.9589267,-7.9589267
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-531.5204,196.20894,76.59862,16.4578,-38.242226,-30.167194,5.4145336,-23.362785,-17.085016,-7.6060944,-7.944932,-0.77831817,-22.70409,304.0595,304.0595,-89.87557,-57.42042,-23.312498,21.82838,3.4022045,-11.249775,7.8783455,4.570042,3.4138882,-7.379579,-7.379579
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-560.7723,190.6376,92.04802,31.10197,-32.049316,-26.104622,-4.513957,-12.7526865,-18.291937,-14.297989,-6.421771,-5.558772,-17.88137,326.41016,326.41016,-79.767815,-62.048668,-28.603296,13.76768,6.6759677,-6.88899,-0.7726512,5.935083,4.3696084,-5.7297997,-5.7297997
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-556.2175,196.54852,86.26112,29.464918,-24.116009,-14.441681,-3.492923,-14.529596,-25.28143,-11.3269825,6.6263256,4.420882,-9.430816,321.23932,321.23932,-83.5418,-55.18857,-21.9533,10.3115425,-0.04395771,-10.894253,1.6013069,15.953877,7.8739324,-8.028571,-8.02857
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-561.7918,190.05968,76.13387,24.140419,-18.427582,-4.8222485,4.5026817,3.4434216,-10.005181,-7.6178384,6.9038734,2.311096,-10.130002,318.96283,318.96283,-82.95963,-47.280727,-14.481334,11.465132,4.132835,-7.2539315,-5.53063,8.454528,4.964467,-8.516938,-8.516937
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-584.5662,170.68047,66.96205,30.986872,6.5040193,11.485388,11.296482,14.097684,-23.13853,-11.606464,8.227182,-6.1953125,-12.497232,325.76413,325.76413,-69.846794,-30.229015,-9.750742,2.3962314,1.306148,-17.217506,-12.852075,15.682857,2.705576,-10.362207,-10.362207
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-613.41656,171.12015,81.67312,28.895054,-13.065702,5.27167,7.039558,7.7000027,-9.43686,-2.2201116,15.170864,10.152954,5.1950593,347.54483,347.54483,-71.11255,-47.36941,-11.811692,10.05263,1.2141664,-8.238209,-4.9600573,12.303863,6.186533,-4.9879026,-4.9879026
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-616.2127,173.98956,64.827995,34.6569,5.225655,14.626957,10.9690895,13.684801,-4.6226177,-7.9195647,7.2203455,-2.212066,-12.469288,340.52036,340.52036,-69.666336,-29.80117,-10.014971,2.8717172,-0.47107792,-7.7958536,-10.802183,5.9214816,2.8537495,-9.844817,-9.844816
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-495.11993,141.14174,2.2172618,46.15275,29.315882,-12.258463,-3.7027323,8.411438,-17.209156,-21.000654,2.9811273,-14.962089,-7.3820267,248.6686,248.6686,-47.494495,13.54931,-29.205606,-16.509308,10.33495,-6.753212,-14.706046,10.095141,3.0192828,-5.181577,-5.181577
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-491.2869,121.96686,11.323962,89.42063,46.51069,-14.912087,-6.1062374,9.76676,-32.496826,-32.68717,-9.169041,-23.124737,-10.248507,251.30544,251.30544,-16.273113,17.593363,-52.16636,-26.308464,12.339424,-13.195294,-21.226965,11.663893,4.7812157,-0.53973293,-0.53973293
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-486.8132,125.611755,27.452656,82.39225,47.8864,-13.03656,-2.094746,7.539575,-31.43712,-24.331474,-12.051655,-17.24627,-4.453927,257.13293,257.13293,-21.609753,10.216871,-47.714405,-24.990572,10.288068,-14.671187,-15.935525,9.692733,3.5426025,3.798864,3.798864
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-474.8221,119.981125,31.600994,73.80762,41.863033,-14.147873,-1.6811281,7.695282,-36.28298,-23.146358,-12.441841,-19.797424,-4.989364,253.21155,253.21155,-23.086754,5.1310196,-43.977745,-21.772081,10.921577,-17.300926,-15.42082,11.92057,1.6744671,3.7262385,3.7262385
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-466.5333,116.39397,26.14279,69.22246,40.950665,-21.522614,-2.280262,2.9034152,-34.197487,-23.725302,-8.584858,-22.903076,-10.055374,246.33804,246.33804,-23.585754,7.4039373,-45.372536,-21.615463,12.213015,-15.958612,-13.314359,12.806314,0.4111128,-0.7352581,-0.7352581
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-470.14813,113.107925,30.654713,75.50822,42.17731,-17.723045,-11.567844,6.903631,-34.72692,-18.525787,-5.6757183,-16.316414,0.9759393,250.40143,250.40143,-18.799854,5.761299,-46.61563,-26.872578,12.313338,-11.579538,-12.714709,14.525601,1.1046867,3.3258288,3.3258288
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-485.8633,119.50844,25.181208,74.58547,44.298836,-7.088483,-13.1005745,10.202002,-30.109276,-16.880516,-10.718084,-16.60998,4.45723,255.52226,255.52226,-22.461483,9.558814,-40.83698,-28.699705,8.645243,-8.504351,-13.541259,9.695596,0.13526821,7.5876575,7.587657
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-496.34775,119.03533,30.877602,78.879654,40.346603,0.83815736,-26.368755,7.224512,-22.56162,-20.834902,-11.495649,-18.940712,5.902241,263.61267,263.61267,-20.077839,4.734501,-39.02075,-33.35768,3.1931775,1.9035673,-14.029707,5.5329857,0.9470949,8.698945,8.698945
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-505.13892,102.209045,42.623688,56.669945,33.63926,11.440968,-11.268933,4.2513294,-12.084252,-20.44074,-19.353632,-19.429825,-1.2055696,273.8813,273.88132,-22.76955,-4.492214,-22.614489,-22.454096,-3.594819,-0.40765953,-12.346035,-3.6346898,0.5054579,9.074031,9.074031
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-416.55597,130.16168,57.488274,32.4817,9.677257,-9.836517,-26.07296,-16.251686,-18.523052,-7.3995147,-5.163541,-2.5908535,-3.059139,237.02213,237.02213,-48.839993,-23.905508,-21.15911,-17.875109,-3.2075844,3.7749538,4.4260855,6.6797557,2.4043307,1.0522009,1.0522009
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-385.94626,127.75578,101.09622,26.170322,-19.753405,-5.228144,-20.771938,-17.749508,-0.2820729,-1.0986912,8.280507,-7.186166,-7.142795,243.52124,243.52124,-50.792732,-60.424812,-15.699233,-0.50926685,-6.260682,10.244933,8.325408,4.28129,-3.0437374,-7.7116513,-7.7116513
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-374.9544,117.76758,94.00907,43.28231,-27.357471,-24.300806,-25.570007,-12.354714,1.4711252,-7.292207,15.215595,-0.5151496,-8.134894,234.48174,234.48174,-37.242634,-60.683273,-33.791557,0.8937321,5.973046,13.520566,2.5312538,6.872235,3.3885286,-11.675245,-11.675245
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-374.72284,132.74307,90.1556,46.385883,-19.22105,-25.2058,-23.125305,-13.216702,2.1083074,5.363804,-6.878914,-6.9429736,-13.560005,232.43922,232.43922,-43.178596,-54.688328,-35.79584,-1.9521275,5.9945483,12.616806,9.290254,-4.493611,-6.153389,-3.3405457,-3.3405457
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-395.63266,149.20717,91.75334,34.913857,-21.419268,-7.729904,-10.676064,-15.262335,-5.1108294,3.2941623,-13.892362,-13.933074,-6.6057143,243.693,243.69301,-57.146656,-56.586304,-21.32188,5.371602,-3.7662153,2.782617,9.278249,-4.390766,-8.613618,3.6433237,3.6433237
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-395.24622,148.86946,76.88007,42.423172,-4.3435965,-15.34253,-36.98178,-21.20032,-9.554649,-10.776287,-2.7329612,-5.5691805,-8.133039,236.06314,236.06314,-53.223145,-40.611835,-28.88285,-16.319092,-2.9288945,13.713566,5.212016,3.410844,2.6035533,-2.7000391,-2.7000391
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-403.02246,141.76205,95.016464,37.368706,-0.91379833,-15.190508,-35.471584,-15.5900545,-11.347342,-5.331985,-6.4981875,-1.7165966,-6.5592036,249.01947,249.01947,-52.196674,-47.96513,-26.279608,-17.278893,-0.19977331,12.062121,5.129035,2.424577,1.8076942,-0.030508041,-0.030508041
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-404.25558,150.99329,96.249725,18.327888,-4.793296,-19.881365,-34.714035,-17.992542,-17.66027,4.64732,-6.0064335,2.2539752,-13.898411,250.25266,250.25266,-66.3327,-50.52151,-19.104628,-14.96037,0.9444113,8.526882,11.319931,5.8269186,-1.1966723,-3.9459887,-3.9459887
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-436.21057,131.66476,88.55957,13.188669,-11.710716,-32.229324,-37.728542,-25.162296,-33.150696,-7.09857,-6.930909,-0.33066314,-20.446169,262.38507,262.38507,-59.23805,-50.135143,-22.708998,-13.008913,3.533514,2.2889233,9.031863,13.109894,3.3839533,-6.75763,-6.75763
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-406.99527,120.99521,64.87624,11.423775,-16.26556,-27.982794,-31.975365,-18.4355,-24.111982,-1.7737832,-6.0504713,-8.361517,-25.6847,235.93576,235.93576,-54.785717,-40.570904,-19.703285,-7.8549023,4.7736473,3.9316912,8.330858,9.030756,-3.2938669,-9.817115,-9.817114
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-413.4594,137.44064,99.938614,13.6881485,-2.6508904,-20.960571,-21.364767,-8.95769,-22.142136,8.348811,2.2537594,-0.8321575,-19.08339,256.699,256.699,-61.876247,-51.294754,-17.32436,-9.356938,6.0014405,-0.38868427,8.653251,12.1979475,-4.590484,-10.668574,-10.668574
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-405.41327,144.58267,98.77899,12.833559,-2.2348635,-25.551916,-15.4093485,-10.9492235,-22.654284,7.031109,-2.001699,0.1439426,-17.686298,252.09613,252.09613,-65.87456,-50.506927,-19.192738,-6.5872426,7.3013463,-3.6224675,8.990167,10.326292,-3.4435833,-7.8423,-7.8422995
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-402.70645,164.16113,84.96596,6.7501564,-3.9132302,-21.770462,-24.9847,-8.8282,-28.73935,0.57186663,-4.2692866,-3.070612,-24.62546,243.83621,243.83621,-78.70549,-44.439594,-14.260309,-10.535734,6.471131,-1.877325,4.7000337,12.235031,-1.8212394,-10.178086,-10.178086
