spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,dmfcc1,dmfcc2,dmfcc3,dmfcc4,dmfcc5,dmfcc6,dmfcc7,dmfcc8,dmfcc9,dmfcc10,dmfcc11,dmfcc12,dmfcc13
AF,i,20,ADS,1.999973207740104,62.07578095420008,-209.13414,134.22878,25.591705,47.568108,7.5831485,-7.0614867,-37.015717,0.21367225,-10.749541,-11.340658,-8.419678,11.065997,4.1070194,117.36292,117.36292,-43.330334,-9.004278,-27.314796,-22.299433,3.6375794,13.133088,-5.7771654,1.1649318,11.203328,6.2633486,6.2633486
AF,i,20,ADS,1.999973207740104,62.07578095420008,-271.4468,136.89745,6.513786,60.24945,2.000666,12.358397,-55.010075,-4.3002844,-14.159611,-11.692753,-19.593971,10.897764,7.9733205,138.9803,138.9803,-38.323997,-2.2565598,-23.945528,-28.505371,-8.329341,20.425232,-3.6962342,-2.7171803,11.2952585,13.783646,13.783646
AF,i,20,ADS,1.999973207740104,62.07578095420008,-290.22028,139.1806,6.258913,57.374626,5.5443316,10.899408,-51.608627,0.7210697,-9.460804,-6.281633,-19.93017,7.1958375,3.9170659,148.2396,148.2396,-40.90299,-0.35729074,-23.23761,-28.576479,-5.0891695,21.073912,-3.5013514,-5.234683,6.738735,11.923618,11.923618
AF,i,20,ADS,1.999973207740104,62.07578095420008,-317.37747,132.44608,28.53155,31.1067,17.670164,-3.7226505,-48.510864,8.347176,-23.422783,6.606126,-27.16827,18.230843,-7.569419,172.95451,172.95451,-50.66969,-5.4306927,-17.414677,-33.090515,6.034913,12.544041,-0.8705249,-1.8727436,5.8123584,9.799426,9.799426
AF,i,20,ADS,1.999973207740104,62.07578095420008,-327.80402,105.08496,65.40439,22.01596,30.113075,7.133133,-39.693596,8.465387,-18.316833,-1.4694467,-41.11221,19.492596,-10.271008,196.6042,196.6042,-41.5345,-17.645657,-7.441414,-34.903336,0.6661272,10.688381,-4.9674172,-11.397688,10.481021,15.420601,15.420601
AF,i,20,ADS,1.999973207740104,62.07578095420008,-340.99118,64.765465,68.9849,20.158009,30.282097,7.4394703,-22.192787,9.698417,-19.862173,-10.475522,-25.219505,20.811651,-19.449131,204.98804,204.98804,-22.303728,-19.351402,-6.359269,-26.237442,1.1294732,1.165307,-10.086969,-2.678666,15.643587,2.8851871,2.8851871
AF,i,20,ADS,1.999973207740104,62.07578095420008,-300.552,76.42409,66.19395,2.6254206,22.551117,-0.7871045,-5.815132,6.858758,-22.779226,-5.853346,-18.933594,1.6080028,-27.676422,183.37297,183.37297,-36.899334,-21.821415,-1.7062625,-14.183125,3.8229313,-8.482047,-6.356052,1.9228163,3.7306743,-4.371414,-4.371414
AF,e,20,ADS,2.136802217871544,54.207019988174565,-255.56772,124.29234,15.305332,68.937584,8.344121,-9.578164,-33.26578,-1.9083313,-14.278847,-13.09383,-11.368139,-7.924283,-12.6964035,135.43652,135.43652,-27.67738,-3.4806056,-39.257874,-20.80495,3.8349164,9.493467,-5.5927496,1.4553537,2.5847735,-0.6641321,-0.6641321
AF,e,20,ADS,2.136802217871544,54.207019988174565,-269.8905,123.8861,-4.9100757,64.78635,-6.772378,-4.969431,-36.333477,4.1222105,-37.81801,-16.326965,-14.485748,-1.3555198,-14.736744,132.49022,132.49022,-29.549877,-0.93115115,-34.877888,-14.78055,4.5458207,-0.7422657,-10.224588,11.66613,7.485723,-0.12549782,-0.12549782
AF,e,20,ADS,2.136802217871544,54.207019988174565,-299.0353,121.176575,11.750158,57.690292,-4.6828847,-7.5798106,-34.397297,10.8436775,-33.611477,-5.5353208,-10.653423,6.647185,-15.361467,155.39273,155.39273,-31.743141,-8.216521,-32.63505,-14.857206,9.211744,0.39291,-8.189499,11.479027,6.091253,-2.354022,-2.354022
AF,e,20,ADS,2.136802217871544,54.207019988174565,-346.66788,139.30057,36.557716,55.338673,4.0784464,-15.583231,-31.79635,8.438393,-36.472527,-10.388389,-14.661259,-4.4229374,-13.848734,191.6128,191.6128,-41.98095,-16.239635,-35.460953,-17.937399,12.010812,-2.338088,-9.413391,10.905634,2.9827256,0.4062624,0.4062624
AF,e,20,ADS,2.136802217871544,54.207019988174565,-386.75626,136.72113,50.190636,61.995903,10.388529,-6.888232,-19.274202,1.0666434,-29.876978,-11.135847,-16.391888,8.406499,-2.6382978,218.47345,218.47345,-37.362614,-19.901054,-34.442066,-14.831366,3.9774377,-5.301388,-6.1012454,6.742545,9.7711735,6.876795,6.876795
AF,e,20,ADS,2.136802217871544,54.207019988174565,-291.38528,114.35814,43.601654,27.569197,15.023728,2.7116928,0.37974146,-7.708452,-6.844267,-8.540893,-9.249884,-9.181669,-9.561733,167.49347,167.49347,-43.39447,-14.288963,-12.428752,-7.3219934,-5.2100725,-3.6120043,-0.4162202,-1.2028084,-0.32038832,-0.1559248,-0.1559248
AF,æ,20,ADS,2.822306836628014,74.31607579023903,-188.5987,121.816895,-0.77776456,43.91442,-9.586847,-10.218167,-10.602838,-4.3918357,-6.4323497,-8.474123,-11.893568,13.431986,-4.84535,93.91046,93.91046,-38.951237,-4.4045415,-27.066294,-0.5079951,2.9131658,2.085244,-2.0411437,-2.7306092,10.953054,3.5241091,3.5241091
AF,æ,20,ADS,2.822306836628014,74.31607579023903,-211.24759,128.3835,-17.759598,58.921204,-8.974356,-2.5778253,-2.600611,-1.4763639,-13.112762,-17.500288,-11.993826,0.88233155,-13.047485,96.743996,96.743996,-34.731148,4.392621,-30.749514,3.1868725,0.5507307,-5.256076,-8.011962,0.55946827,9.19131,-0.5268297,-0.5268297
AF,æ,20,ADS,2.822306836628014,74.31607579023903,-214.74788,131.85359,-26.665625,44.331863,-5.076828,-2.9149156,-8.084822,9.568374,-8.954884,-8.071706,-20.341206,-8.712757,-17.767323,94.04113,94.04113,-43.760864,10.794398,-23.62339,-1.5039968,6.241645,-0.43503094,-8.82004,-5.693161,-0.32052565,1.2869415,1.2869415
AF,æ,20,ADS,2.822306836628014,74.31607579023903,-237.02711,128.0374,-11.612807,53.2585,4.9115186,8.210901,-8.905173,6.68293,-5.4888515,-10.138307,-18.867016,-7.3861523,-11.820979,112.70715,112.70715,-37.38945,8.262163,-22.5238,-6.908346,-0.76398563,1.7081609,-8.410619,-6.689082,1.3760772,3.5230184,3.5230184
AF,æ,20,ADS,2.822306836628014,74.31607579023903,-270.0233,122.14248,-7.1463923,38.639297,2.6094618,3.8136127,-17.324333,-7.12961,-17.199118,-8.259581,-23.09085,-10.044474,-15.192491,131.43845,131.43845,-41.75159,4.8779273,-17.412842,-9.966898,-5.4716115,0.062607765,-0.5649853,-2.9458666,-0.8924465,3.9491801,3.9491801
AF,æ,20,ADS,2.822306836628014,74.31607579023903,-294.03894,134.06995,22.147835,47.982506,-1.2856104,0.8456931,-11.634335,-0.7365211,-17.193583,-2.8823922,-24.110958,-16.537281,-26.433916,158.09338,158.09338,-43.04372,-11.7167225,-23.568407,-5.174362,-0.7911071,-2.779624,-1.0729356,-3.4586878,-6.8274446,-1.161479,-1.161479
