index,spkid,IPA,AgeMonth,Register,time_start,duration(ms),F1,F2,dF1,dF2,ddF1,ddF2
0,FADS101,i,18,ADS,4.241120171472395,66.39399372478749,300.78593935421145,2042.6780080395586,8.589968763790619,-30.60086816610614,2.337558312823537,-9.662939525556457
1,FADS101,i,18,ADS,4.241120171472395,66.39399372478749,308.20712896159034,2016.9086096362307,8.589968763790647,-30.600868166106302,2.3375583128233757,-9.662939525557704
2,FADS101,i,18,ADS,4.241120171472395,66.39399372478749,317.9658768817927,1981.4762717073459,8.750438917849419,-32.45216482680366,-2.0166180047060607,5.960346204161397
3,FADS101,i,18,ADS,4.241120171472395,66.39399372478749,325.70800679728916,1952.0042799826233,4.535689612983513,-18.07737907409905,-6.4128806050259755,22.789225301246006
4,FADS101,i,18,ADS,4.241120171472395,66.39399372478749,327.03725610775973,1945.3215135591477,4.535689612983505,-18.077379074099394,-6.412880605025873,22.789225301247317
5,FADS101,u,18,ADS,5.69,159.99999999999926,300.5738248590328,758.6326376153004,-0.5600532229422316,-26.31501977825834,-6.50762491663247,-5.453624948277579
6,FADS101,u,18,ADS,5.69,159.99999999999926,303.26758409440674,735.0444303111808,-0.56005322294225,-26.31501977825836,-6.507624916632494,-5.45362494827782
7,FADS101,u,18,ADS,5.69,159.99999999999926,299.4537184131483,706.0025980587836,-1.9590604498038637,-28.78880151798738,3.7096104629090405,0.5060614688193255
8,FADS101,u,18,ADS,5.69,159.99999999999926,299.349463194799,677.466827275206,0.34403264621236346,-23.389568725945807,0.8965757291231284,10.29240411526348
9,FADS101,u,18,ADS,5.69,159.99999999999926,300.141783705573,659.223460606892,2.4079335433247397,-17.13813469391492,3.231226065101282,2.210463948797951
10,FADS101,u,18,ADS,5.69,159.99999999999926,304.16533028144846,643.1905578873761,5.539519263703521,16.332848456142493,3.0319453756560506,64.7315023513163
11,FADS101,u,18,ADS,5.69,159.99999999999926,311.22082223298,691.8891575191769,24.941827632986488,236.20785651340142,35.772671362909705,375.0185137632009
12,FADS101,u,18,ADS,5.69,159.99999999999926,354.0489855474214,1115.6062709141788,24.17960833768179,316.32491512075205,-37.29710995351934,-214.78439654850035
13,FADS101,u,18,ADS,5.69,159.99999999999926,359.58003890834357,1324.5389877606808,25.40441686618256,249.08602770044772,39.74672701052066,80.30662170789083
14,FADS101,u,18,ADS,5.69,159.99999999999926,404.8578192797865,1613.778326315074,15.446168505840333,57.868219241061354,-59.66322373120545,-462.74223862666486
15,FADS101,u,18,ADS,5.69,159.99999999999926,390.4723759200242,1440.2754262428034,42.31030195222365,-6.463988311696615,113.39149062397155,334.0778235211478
16,FADS101,u,18,ADS,5.69,159.99999999999926,489.47842318423375,1600.8503496916808,110.02926808753959,151.2007096471967,22.046441646659787,-18.748427603362416
17,FADS101,u,18,ADS,5.69,159.99999999999926,610.5309120951033,1742.6768455371966,44.23316572890783,46.31787716688058,-153.63864636392373,-191.01723735727137
18,FADS101,u,18,ADS,5.69,159.99999999999926,577.9447546420494,1693.4861040254418,44.23316572890788,46.317877166880365,-153.6386463639236,-191.01723735727066
