spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
FIDS101,i,18,IDS,6.59867949229148,84.63566591692117,-511.94293,129.83813,50.8409,69.30893,32.52921,-10.926349,7.9541593,12.59595,-36.825386,-13.579051,-10.704676,-12.991853,11.5889635
FIDS101,u,18,IDS,7.722729067419494,167.27093258050553,-504.01453,185.69237,72.66962,21.342777,-17.875633,-17.28056,-7.936364,-1.2995702,-4.3158264,-15.003327,-0.31806457,-8.054941,-26.751373
FIDS101,u,18,IDS,8.864728455759371,95.27154424062978,-590.34314,213.26706,67.56787,19.99229,-5.013169,-9.409332,-8.611795,-1.2801352,-14.523653,-18.391365,-12.088307,-1.4617724,-25.15243
FIDS101,u,18,IDS,9.122431058829338,119.65732077909585,-560.7723,190.6376,92.04802,31.10197,-32.049316,-26.104622,-4.513957,-12.7526865,-18.291937,-14.297989,-6.421771,-5.558772,-17.88137
FIDS101,i,18,IDS,9.567386530271246,83.17643029766586,-466.5333,116.39397,26.14279,69.22246,40.950665,-21.522614,-2.280262,2.9034152,-34.197487,-23.725302,-8.584858,-22.903076,-10.055374
FIDS101,u,18,IDS,17.73947472320143,210.52527679857036,-405.41327,144.58267,98.77899,12.833559,-2.2348635,-25.551916,-15.4093485,-10.9492235,-22.654284,7.031109,-2.001699,0.1439426,-17.686298
FIDS101,u,18,IDS,31.62501510221582,99.22802210948944,-453.02362,172.85423,46.249554,-11.142204,-2.707099,-5.491049,12.012964,11.068475,-17.025036,-29.8409,-26.895391,5.45453,-4.4242253
FIDS101,u,18,IDS,39.33,60.000000000002274,-500.15762,163.18097,55.83262,6.0007443,47.820713,34.51036,-26.710823,-18.77362,-11.899326,-14.494122,-8.202981,-12.871639,-17.13628
FIDS101,u,18,IDS,40.06,154.82430941472813,-560.6923,195.00293,74.36612,45.718384,-10.920568,-22.17241,-7.4660006,-15.119955,-8.299152,-2.2973957,5.073555,-9.708495,-21.117363
FIDS101,i,18,IDS,52.70725483048991,75.15063439175407,-430.10562,109.9019,17.847084,91.35205,12.711931,-16.67278,1.8089957,-2.0476146,-14.40916,-12.235138,-22.303524,-10.252036,-9.031633
FIDS101,a,18,IDS,58.45527153546166,80.62276796395906,-457.54547,196.72354,8.606043,-19.939613,-24.810791,-1.0372165,-0.24081951,24.258318,2.8583395,-21.925615,-2.0075445,10.312213,-2.8193307
FIDS101,a,18,IDS,59.54541880604379,83.90604810730196,-407.59042,193.80344,16.317493,-34.52912,-22.984255,-18.552021,24.421944,-0.5279833,-6.4284844,2.8734279,-16.742722,0.26614004,12.730998
FIDS101,a,18,IDS,60.9974248830142,63.476749437690216,-383.62952,163.62207,-21.171705,-10.752015,-60.02774,-4.6125655,15.223756,-15.705758,-4.991566,-5.4787135,-33.11523,2.4177337,-0.43550658
FIDS101,i,18,IDS,63.48345700165431,81.35140435071264,-487.0453,106.840256,27.064209,93.834915,13.84988,-13.063159,8.543719,-0.9434212,-24.018385,-13.152964,-16.867228,-11.620399,-5.645336
FIDS101,u,18,IDS,65.71066768379734,116.0072688851983,-526.2438,162.43927,76.1683,23.828773,5.7012725,-12.565607,-15.64258,-10.852033,0.91140443,-6.6076794,-3.1489425,-8.85613,-2.9986494
FIDS101,i,18,IDS,68.19898352127149,118.9277029694722,-454.31506,97.6594,40.89434,66.11817,41.4221,-10.387079,3.7570634,-1.9771459,-20.877722,-19.316895,-31.578827,-6.830348,-0.81945467
FIDS101,a,18,IDS,68.68558290407802,67.85445629546416,-410.23935,178.38222,5.626486,-21.974785,-24.891094,-4.7302055,-14.44083,12.164446,4.3935676,-29.919613,-17.057411,-2.0320299,-14.996107
FIDS101,i,18,IDS,74.6093655460863,140.08661944870937,-512.5111,121.03862,41.86557,74.13385,38.141003,3.092899,4.698574,-16.713404,-17.18059,-24.49281,-29.770142,-1.9625273,-10.657791
FIDS101,i,18,IDS,76.54001290949378,78.91546228943014,-457.8088,100.193085,63.087166,61.857113,18.727264,5.711849,9.558927,-28.610313,0.6462926,-21.338757,-21.045666,-7.3156357,-14.972743
FIDS101,a,18,IDS,78.01,109.99999999999943,-386.73117,196.01797,-21.046019,-19.088543,-28.612885,19.34761,7.0993576,-4.993966,-21.672588,1.3190303,-0.14886467,-0.0724709,-10.0647545
FIDS101,a,18,IDS,78.8184498861212,85.45283786371272,-400.31583,168.0463,2.2960906,-41.344826,-15.078008,2.5919545,6.801038,7.9054537,-13.586298,4.601095,6.762964,13.519871,-4.430334
FIDS101,u,18,IDS,83.75701259785441,98.99454441041655,-578.7457,166.35522,83.98474,38.3515,-9.758493,-4.319909,-7.691144,-18.050518,-3.3164537,-16.837955,3.9799924,6.7019114,-19.30931
FIDS101,u,18,IDS,93.72,59.30553921099602,-474.022,185.38757,27.268047,-6.3019094,-2.5690026,21.60434,-5.495768,9.620016,-23.837515,-18.199274,-7.3071604,13.406036,-6.0174627
FIDS101,a,18,IDS,103.0452364958817,107.98343582500536,-340.6043,171.58746,-12.750748,14.87861,-46.5271,-10.124901,9.275787,4.1722136,-8.336618,-5.624595,-14.595995,7.034157,-4.823039
FIDS101,u,18,IDS,104.9307779475228,122.57579201759938,-513.72064,101.28484,72.68709,29.508625,9.915008,-0.51210666,-14.62572,-21.154003,-7.654355,-0.64851624,-4.2859187,-3.7089841,-4.602723
FIDS101,a,18,IDS,106.9365411983674,104.33534677690659,-410.04584,151.0943,31.40614,-22.0493,-38.55509,-0.84447026,-0.64141333,12.639197,7.3339086,-16.207672,-14.084366,4.0773296,-0.7898482
FIDS101,i,9,IDS,5.41,99.99999999999964,-447.1585,103.69142,22.400902,77.5869,46.351955,-18.42073,-5.61695,3.9159067,-18.333534,-9.0598545,-18.29859,-13.685749,-0.70799077
FIDS101,u,9,IDS,6.59,280.0000000000002,-585.0904,159.06175,42.462326,33.303917,14.413441,7.0230646,3.5703218,14.671917,-20.245876,-7.4866867,23.032322,-3.6821232,7.709955
FIDS101,u,9,IDS,7.55,129.9999999999999,-593.22656,203.65492,97.76965,8.735744,-6.8899746,-32.396145,-6.4012794,2.162522,-16.92441,-15.153214,-9.47299,-4.4322276,-23.240093
FIDS101,u,9,IDS,7.801897759230315,178.10224076968507,-466.62988,178.06549,51.587765,14.986845,-20.537525,-41.005997,-26.331766,-9.709052,-22.657207,-19.610205,-12.372444,-13.632063,-30.394707
FIDS101,i,9,IDS,8.4,80.00000000000007,-387.53525,113.19273,-9.302569,74.285034,34.98633,-23.188309,-41.65059,13.077206,-25.734241,-10.695252,-12.997242,-23.069416,-2.047964
FIDS101,u,9,IDS,14.78,150.00000000000034,-424.5576,178.09782,80.47691,0.60029835,-3.504826,-66.02489,-12.328815,-13.542376,-12.277384,-10.690802,-14.656828,7.1186843,-33.338074
FIDS101,u,9,IDS,17.32,89.99999999999986,-636.715,161.56671,107.84689,39.528286,2.9484506,-14.455307,-3.966608,-7.7234373,6.573154,7.8003955,-4.5333796,-16.135384,-24.849588
FIDS101,u,9,IDS,24.14,160.00000000000014,-504.7438,171.3186,99.6129,25.566984,-6.3824615,-23.027107,-20.302301,2.513936,-32.76922,-10.173153,-2.1787333,-2.5960107,-4.958399
FIDS101,u,9,IDS,24.97,150.00000000000213,-474.38052,174.18681,65.54771,32.710915,-18.388521,-58.272156,-20.779423,-7.9419894,-9.60663,-17.172523,9.636347,1.0096769,-18.544271
FIDS101,a,9,IDS,27.64,89.99999999999986,-375.85004,166.9004,4.340015,-12.416205,-29.208195,-4.529856,-14.443331,35.993668,-14.431613,5.2457366,-21.62746,19.384335,-9.475412
FIDS101,a,9,IDS,29.6,79.9999999999983,-455.08276,213.8923,25.761196,-34.41952,-23.297419,-5.2023363,-17.89549,27.62408,8.823236,-3.6500163,-9.631489,8.5410795,-7.2194977
FIDS101,i,9,IDS,37.13929301694983,99.66558829265892,-396.75296,93.35281,24.87136,95.321304,35.122932,-13.273866,-25.196983,1.3678379,-13.142109,-2.6117818,-21.327404,-9.880619,0.4066368
FIDS101,i,9,IDS,39.1,100.00000000000142,-423.6797,80.03354,31.549847,69.76039,39.374054,1.8132448,-6.8032994,-2.0346327,-16.558674,-17.87001,-12.896019,-18.510803,5.92805
FIDS101,a,9,IDS,42.35,89.9999999999963,-368.65216,143.66714,9.569109,-24.014061,-13.836348,-1.8996633,-12.943307,15.001698,1.9466716,-18.94101,-10.189089,16.096243,-6.8065643
FIDS101,a,9,IDS,43.77,119.99999999999744,-316.9513,170.69281,2.8392205,-26.719767,-43.232857,-16.016178,5.5427237,-1.396528,-18.408764,3.0235543,-30.458948,1.2544595,-0.13639477
FIDS101,a,9,IDS,44.82,71.30494242934304,-290.46252,145.26385,-50.618538,-4.3224635,-0.96909267,-3.948355,1.7302356,-24.87774,-12.2248535,1.3951526,-13.446842,-12.691321,-4.9447556
FIDS101,i,9,IDS,47.58,120.22073538138045,-424.1598,109.96801,10.898994,75.19862,38.085358,-10.797082,-25.425571,-7.196746,-22.965567,-15.829549,-21.546875,-16.677082,6.53993
FIDS101,i,9,IDS,51.71,109.99999999999943,-416.74008,89.61495,20.71692,79.27849,26.310024,-12.858069,-8.699953,-11.091112,-17.687744,-8.279138,-21.529224,-8.116296,-14.382816
FIDS101,a,9,IDS,52.05,100.00000000000142,-494.26483,150.31729,35.455666,-23.627659,-19.260174,4.9836826,-9.114208,33.26422,3.4964037,-15.017183,-4.546858,7.879671,-6.543748
FIDS101,i,9,IDS,59.49,95.49823721948769,-414.31485,86.74756,18.423058,94.31011,25.307995,-21.745249,-23.52441,-14.639647,-15.532787,-12.407021,-17.30165,-9.0632715,-3.4826946
FIDS101,i,9,IDS,61.02,91.52137241623848,-504.39108,118.98863,57.393303,65.95117,48.824707,-8.742013,-7.38202,-9.88348,-5.8008547,-4.925477,-21.395746,-7.1173496,1.9120204
FIDS101,a,9,IDS,62.41,77.46685631724404,-438.18936,173.15326,53.46591,-14.040993,-36.74267,-6.6643567,-8.665718,35.105034,-15.3206215,9.770014,-7.9081516,-2.607603,10.505106
FIDS101,a,9,IDS,63.32,77.35166447027098,-389.61893,181.72647,11.858593,1.5769836,-49.411045,-3.7301455,3.7509832,5.104639,-23.318245,17.823544,-15.191431,4.3359694,-2.028068
FIDS101,u,9,IDS,65.32,70.00000000000739,-470.2818,157.4035,79.04719,-8.960733,-1.4882184,-12.753513,10.667641,-3.9593835,20.00258,-10.246632,3.9766452,-5.602739,-5.8128414
FIDS101,i,9,IDS,65.64,68.6074196495241,-390.8286,95.39215,-11.218905,30.36197,27.369453,-32.317497,-53.207253,-16.699747,-19.229233,-7.305868,-11.160971,-17.255182,-4.3455906
FIDS101,u,9,IDS,68.37,106.09118672958573,-522.46405,163.12926,82.32362,27.237629,-4.036237,-12.4355545,-8.198304,-4.640289,16.625513,-18.724037,-9.092972,4.146818,-18.834057
FIDS101,u,9,IDS,77.29,157.8488166911569,-612.3977,175.74417,117.908295,19.47734,15.297046,-19.616175,-28.962044,9.144415,-13.78842,-17.03444,0.506721,-3.6646285,-5.6590095
FIDS101,a,9,IDS,84.99,118.53238709744573,-448.3461,183.00116,24.042328,-28.504948,-26.395151,6.12437,-35.453255,19.520334,-21.324661,-2.5312214,-15.80834,13.290754,8.10589
