spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
MADS101,i,12,ADS,6.64,100.00000000000054,-469.7365,70.12804,52.98696,88.20048,8.319214,-5.6914854,13.079348,-45.92239,-19.039345,-34.663807,-24.466494,-14.15232,-13.590307
MADS101,u,12,ADS,8.32,230.00000000000043,-609.9331,209.11723,82.63048,28.528873,-4.1687174,-26.976177,-2.3394918,-18.878384,-4.0404396,-4.9555435,5.5485787,-11.653126,-13.642517
MADS101,u,12,ADS,9.46,169.99999999999994,-551.1811,188.96722,59.18596,20.141155,0.18483543,-38.462265,9.069206,-21.718273,-13.4662895,-13.765852,-9.269003,-18.808939,-12.347124
MADS101,u,12,ADS,9.97,229.99999999999864,-505.57962,161.24162,47.815765,25.758545,-47.65171,-32.956768,-3.561187,-44.89615,-7.2184634,-29.671724,15.76352,-15.95801,-25.443314
MADS101,i,12,ADS,10.78,89.99999999999986,-545.93646,91.28314,35.558544,86.7879,26.167274,-26.933922,28.922806,-46.804375,-25.233326,-34.491493,-11.69576,-28.452663,-9.609272
MADS101,u,12,ADS,18.01,209.9999999999973,-451.03214,167.4412,6.0313272,-17.98183,-48.570606,-26.13561,-20.071037,-32.46416,9.527088,-30.308907,-12.318565,-28.258427,-34.954277
MADS101,u,12,ADS,21.21140934900351,108.59065099649001,-597.94446,146.30815,40.654552,-8.54616,-51.04209,-8.419141,1.9296812,-23.529926,-10.068724,-31.87593,-12.768562,-26.097862,-15.166388
MADS101,u,12,ADS,29.23,120.000000000001,-529.3847,196.09286,60.311214,8.831018,-29.897034,-38.13038,-1.3254061,-24.271114,-3.7067595,-17.61998,-11.063038,-26.889223,-26.790226
MADS101,u,12,ADS,30.5,191.94389304259118,-681.2826,126.17397,79.86144,43.678665,28.284758,19.413773,17.266552,16.191345,19.13005,17.992828,13.516649,3.4348316,3.9221373
MADS101,a,12,ADS,34.75,109.99999999999943,-391.10843,176.93826,-51.45684,-4.106582,-34.41188,7.0881295,29.386847,-31.061539,-17.442665,-0.52910686,1.581445,-6.67013,-13.295937
MADS101,a,12,ADS,37.32,127.72296436988029,-396.5759,189.7537,-52.485443,-9.027988,-34.090973,-2.8821702,32.08095,-22.094034,-13.607845,-3.106033,-9.122567,-16.675385,-15.849236
MADS101,i,12,ADS,44.64133651686998,111.06461524325084,-479.4184,91.80037,40.46824,103.08157,6.460039,-11.435668,25.27465,-37.932396,-18.820063,-34.63837,-7.0647593,-25.429596,-9.04789
MADS101,i,12,ADS,46.98487176513526,95.1282348647382,-526.4152,66.69113,46.84752,85.32797,9.058121,16.812176,3.3131397,-38.19802,-19.095413,-40.761658,-15.796419,-16.70754,-13.574469
MADS101,a,12,ADS,51.45439043184546,150.263891211452,-464.95938,170.30463,-28.415527,-12.878292,-23.199892,12.542774,26.10683,-5.165632,-10.360454,-2.1967046,-1.6278327,-10.212251,-8.050207
MADS101,a,12,ADS,52.55,130.00000000000256,-411.2221,176.96182,-25.865635,1.6448133,-29.759693,24.05835,18.778778,-24.824385,3.2989335,-7.1584635,9.426886,2.4044056,-22.4716
MADS101,a,12,ADS,54.17,129.99999999999545,-407.7017,171.629,-33.025635,-20.02895,-29.514622,4.9685836,25.26508,-29.608826,-7.542463,-4.147279,-13.938702,14.453889,-32.811073
MADS101,i,12,ADS,57.29662762845599,84.9317645977834,-435.8826,114.480965,12.6038,101.38652,-5.338237,-19.2002,15.389777,-37.096466,-18.776924,-24.875559,6.23039,-19.345545,-1.1035787
MADS101,i,12,ADS,61.58234247775766,87.65752224233836,-495.18506,62.031082,46.710773,54.631847,-14.334557,-11.28377,1.7987018,-55.41248,-20.75644,-43.106644,-5.624168,-11.43593,-15.510693
MADS101,i,12,ADS,61.97,79.46718304543765,-434.99564,121.28139,2.509019,95.98628,-10.171581,-10.857146,8.254053,-33.959755,-24.9793,-46.08996,4.920685,-29.761627,2.606872
MADS101,a,12,ADS,62.27,117.56093827120395,-325.88174,155.84299,-72.16527,-8.386575,-25.75932,-1.6469865,2.8898773,-20.713129,-14.277542,3.2071798,7.3776846,-5.2216806,-25.503046
MADS101,i,12,ADS,67.46,120.00000000000455,-431.66122,75.091576,25.59135,108.23108,-14.983423,1.1841447,12.198734,-43.82748,-14.787235,-41.18445,-9.466742,-32.1369,-6.134555
MADS101,i,12,ADS,69.62,99.99999999999432,-499.39856,76.3159,63.797665,95.4814,-5.0426135,-3.072971,11.404842,-46.133244,-13.964464,-34.889034,-11.1684475,-11.090483,-11.125379
MADS101,a,12,ADS,71.66,81.45208593506936,-356.59027,162.20084,-36.92906,-35.43378,-34.943165,-15.257483,24.39521,-49.43264,1.6326191,-4.5531154,3.6403668,2.0036008,-8.660097
MADS101,a,12,ADS,72.65,69.99999999999318,-351.7478,134.68079,-9.481709,-23.437508,-26.30877,-4.480774,19.707289,-36.568325,-9.733675,3.6783555,-4.8728623,2.6362844,-22.973783
MADS101,i,12,ADS,74.92,69.82171853798036,-449.33173,132.55307,-45.755325,36.581165,-4.540686,-43.156258,-8.835184,-29.070719,8.520665,-31.237375,3.241899,-15.61968,-12.299063
MADS101,u,12,ADS,79.88,109.99999999999943,-594.12976,168.30049,80.930115,36.11894,-7.4368916,-16.230555,-9.602221,-8.310213,-9.575655,-13.611637,-4.792864,-8.457182,-11.781406
MADS101,u,12,ADS,90.31465331429062,132.29755639270024,-518.47986,186.49101,67.71304,32.999973,-22.209198,-27.620687,6.55289,-22.613518,2.5808346,-2.9771657,-5.952069,-18.361507,-34.581352
MADS101,a,12,ADS,98.68,219.99999999999886,-403.377,164.58194,-40.229065,-26.81855,-21.98256,-1.3638133,43.98428,-32.26005,-6.860393,3.6947846,1.1191504,-4.8173347,-15.672351
MADS101,u,12,ADS,100.22,109.26761388870432,-580.2117,203.06317,72.81552,31.33194,-17.194916,-26.378822,9.314558,-21.17715,11.779196,-10.697016,11.040321,-27.66351,-12.592302
MADS101,a,12,ADS,102.34,159.9999999999966,-381.72217,141.9245,-29.064041,-52.700478,-36.21814,-8.201852,17.235046,-55.67315,6.2880864,-10.921998,1.0975676,-8.166265,-13.144835
MADS101,i,15,ADS,6.21,89.99999999999986,-426.97955,33.713314,15.9307,113.80171,-24.752193,-9.961699,-8.899628,-55.41564,-18.563581,-34.339645,-11.002148,-20.431187,-6.341779
MADS101,u,15,ADS,7.7,269.99999999999955,-476.1052,146.99344,17.106703,-25.941254,-58.23089,-35.456375,-16.150772,-30.67109,-6.8847685,-26.086407,-32.57762,-12.679622,-22.845108
MADS101,u,15,ADS,8.64,89.99999999999986,-581.0304,151.55936,-20.928513,-6.743069,12.413078,-18.166698,-33.581566,-43.117218,-18.33162,-0.7279334,-6.3157773,-6.6100264,-11.380395
MADS101,u,15,ADS,8.907480547313972,145.26266579059842,-530.9481,170.0357,8.959768,2.3862236,-78.27954,-10.491729,-7.0754223,-45.84584,15.560373,-10.173065,-11.973271,-0.86699724,-19.509016
MADS101,i,15,ADS,9.51,80.00000000000007,-491.8174,64.78081,-2.3249555,109.28735,-4.8488503,-35.850113,-9.989693,-48.87168,-25.209267,-33.756855,-1.2745354,-8.996347,-2.3581781
MADS101,u,15,ADS,15.99,104.00966080929841,-519.73834,186.7638,41.940834,32.495155,-31.351624,-11.176625,0.28449118,-11.616797,2.5379405,-9.472597,-2.5814095,7.515536,-3.8035254
MADS101,u,15,ADS,18.71592509962992,102.97100359839817,-557.3663,164.84122,60.92993,40.339542,-39.061737,-11.110506,11.715622,-33.959827,-6.6407585,-15.968313,-36.575325,-13.324829,-17.691387
MADS101,u,15,ADS,25.96,129.999999999999,-537.3466,186.47974,69.50912,-4.1571407,-22.068096,-1.068057,-1.3369436,-14.381433,-8.285076,-11.10914,-10.749048,-6.012456,-12.128353
MADS101,u,15,ADS,26.98,179.99999999999972,-597.6764,187.76999,91.84097,34.818382,-14.151057,-0.45142514,9.140862,-10.964012,3.425249,2.54874,11.830274,8.684728,-7.4107046
MADS101,a,15,ADS,30.26,125.95143719827817,-381.8841,169.0492,-61.876675,-15.716414,-44.47764,-3.4243588,10.186518,-42.091827,-7.549346,2.763785,-7.508874,-5.58072,-12.046094
MADS101,a,15,ADS,32.46,104.27586491153562,-351.18634,157.93848,-70.90799,9.103985,-50.38973,0.1440289,18.92085,-37.71912,-14.571281,-6.9349904,-7.310026,-7.904155,-5.8411207
MADS101,i,15,ADS,37.82927607350965,102.97100359839106,-529.80054,78.50889,37.506645,106.24222,-20.105871,-21.968708,-11.543802,-55.70569,-16.280754,-24.826488,-15.373422,-20.131966,-15.106819
MADS101,i,15,ADS,39.75382391013967,106.17608986032678,-533.58777,80.58356,35.842697,125.473785,-3.9961138,17.554634,-8.901187,-57.875275,-24.690128,-32.9925,-7.2723103,-11.793589,-1.160308
MADS101,a,15,ADS,43.22,131.80402668569968,-411.72095,190.74664,-71.260925,-10.586229,-34.060417,-4.1673503,-13.057404,-19.8445,-0.5638038,-12.743406,11.485375,5.184186,-35.161484
MADS101,a,15,ADS,44.42,89.9999999999963,-461.4896,178.25621,-22.928669,-11.468651,-22.140581,11.8188095,18.978954,-17.28056,8.413908,9.4571705,-8.779409,16.50592,-35.233154
MADS101,a,15,ADS,45.46,130.00000000000256,-417.96246,172.7399,-43.778984,-19.70796,-36.479286,5.7938166,0.6987282,-35.89205,-14.9172,12.829812,-27.399961,8.776716,-23.92804
MADS101,i,15,ADS,48.25030443246747,84.58332438438987,-510.44525,127.16568,16.480268,91.36524,1.1297514,-24.390388,-11.403765,-33.817604,-30.187943,-20.247843,-8.175015,-20.803535,0.088929415
MADS101,i,15,ADS,52.41,50.00000000000426,-514.62756,95.214424,24.097315,101.82516,-2.3862214,-38.45258,2.3358328,-41.396286,-22.886032,-18.169605,-22.922249,-18.641676,-13.553167
MADS101,i,15,ADS,52.7585012880366,61.498711963402286,-504.0634,90.91415,-9.225923,112.992905,-8.131363,-19.698551,-8.692926,-28.304188,-16.961975,-29.37291,-3.9048295,-20.11832,-8.373343
MADS101,a,15,ADS,53.02,109.99999999999943,-425.64734,157.01372,-36.49362,-42.18262,-27.041481,-0.9538747,-11.454079,-19.67669,-6.605199,2.8514693,-9.715721,-20.06618,-30.660276
MADS101,i,15,ADS,57.55,125.83731508238571,-523.64984,81.24756,55.981594,110.7036,18.217278,8.587983,7.750436,-51.888992,-32.206768,-28.84003,-31.188011,-2.1863189,5.0003877
MADS101,i,15,ADS,59.44,119.20003567990278,-568.9194,101.18173,75.79573,75.31102,21.594183,-9.260693,17.64798,-56.82943,-11.48679,-29.20765,-28.080711,3.315075,-11.562002
MADS101,a,15,ADS,61.5,100.00000000000142,-384.20706,147.88896,-36.683804,-27.304497,-44.800507,-12.409264,-8.706628,-44.448624,-16.274096,-13.766737,-6.345831,-6.5849814,-15.5090065
MADS101,a,15,ADS,62.5,109.99999999999943,-375.14847,152.80316,-11.722377,-30.554165,-57.7023,-3.8291817,5.964607,-39.940125,-3.336163,-6.841363,-10.71603,2.4824746,-3.7495487
MADS101,i,15,ADS,64.77,53.0568892926766,-434.74905,100.37097,-44.8188,58.413567,-18.004448,-44.551483,-33.501904,-40.28887,-2.6155093,-22.460163,-4.0177116,-11.621405,-17.124454
MADS101,u,15,ADS,67.92468009353881,105.31990646119027,-599.82196,147.59897,79.317,28.81271,-21.070526,-11.504116,-14.149367,-12.657962,-16.979465,-16.412334,-17.076975,-17.484617,-21.725441
MADS101,u,15,ADS,75.53,99.99999999999432,-624.6576,185.11179,74.98178,14.64328,-11.8650675,-9.7145405,-10.79715,-28.676529,-3.4682026,-7.581654,-7.802474,-2.516226,-22.37259
MADS101,a,15,ADS,85.91,159.9999999999966,-380.25558,143.15417,-34.443016,-28.765686,-25.782969,-14.143647,-2.289292,-44.317963,1.5716606,-0.5652667,-3.0372806,-16.950365,-26.064415
MADS101,u,15,ADS,86.87,102.6678795923317,-603.92725,194.03625,56.075012,16.213318,-18.05964,-23.457314,-13.030606,-40.83348,-1.8522354,-2.6701837,-13.412475,-11.271934,-24.248795
MADS101,a,15,ADS,88.67,123.93381498210942,-389.3333,154.54138,-43.861717,-9.622056,-26.748402,0.21312979,9.796392,-35.388023,-4.311101,3.6293535,-12.939886,-2.4890647,-13.976913
MADS101,i,6,ADS,6.24,104.8646508770581,-495.40295,69.638916,42.13231,85.71315,-1.4445994,5.730275,10.717523,-54.238197,-30.049862,-27.946503,-6.8319874,-15.757117,2.9584594
MADS101,u,6,ADS,7.83,209.81767248274787,-614.98267,180.15977,80.06285,24.000298,-7.0736337,-20.6137,-14.56662,-7.0423203,-0.7495982,-9.018358,-9.135019,-13.14378,-12.32889
MADS101,u,6,ADS,8.62,138.56607796247465,-573.36145,184.48465,29.45111,18.083992,-31.840113,-12.628229,1.91065,-22.859991,-5.995031,-8.567546,-10.55011,-4.2613735,-8.780767
MADS101,u,6,ADS,8.940294153217595,199.70584678240579,-538.7981,211.60756,36.263977,10.125605,-28.775934,-19.37801,-14.547213,-26.001648,-0.079052925,-11.348129,2.3783212,5.8186684,-12.673985
MADS101,i,6,ADS,9.68,82.22848877576006,-521.4701,111.48183,22.34326,97.09831,9.767767,-12.891535,19.340244,-44.29888,-41.131897,-23.349964,-1.7032733,-29.23153,7.415123
MADS101,u,6,ADS,16.32,207.31662177027133,-554.59485,141.19211,37.303635,6.845847,-12.678068,-2.8408697,-1.1573558,-21.234749,-10.045803,-11.533614,-9.615526,-11.086496,-4.851985
