spkid,IPA,AgeMonth,Register,time_start,duration(ms),mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
AF,a,20,IDS,102.82732478548132,40.64852683691811,-282.96732,117.233894,-55.873608,8.58518,19.579742,34.381725,-8.12398,5.6706967,-0.49032867,-33.117508,-45.139717,-4.627843,-29.943352
AF,a,20,IDS,112.233691946743,55.7035367765053,-302.89746,140.49661,-34.320763,11.559324,-29.616552,-15.311609,-8.159206,23.673622,-9.405363,-30.574543,-30.367527,-0.42855257,3.3950467
AF,a,20,IDS,118.20492206160276,170.12161231740208,-283.57715,182.51443,-71.52722,-9.693885,-30.91354,-0.25065637,-4.3453426,-3.5358853,-0.38245246,5.737152,-16.85123,-24.018818,-15.736147
AF,i,20,IDS,121.54182491406578,72.2640477100498,-273.17078,115.94529,-18.39135,72.52074,-15.823326,-3.0959306,-10.483637,-4.631028,-23.773815,-6.8861766,-15.564697,-8.976883,-7.557411
AF,i,20,IDS,122.58104849470686,27.099017891274002,-287.38553,116.77883,21.880232,70.37526,-37.292572,-11.265132,-8.465946,7.9772367,-33.514248,4.566483,-33.213306,-30.85244,11.649038
AF,a,20,IDS,123.763450498871,64.73654274024909,-301.79047,126.721794,11.596662,43.39966,-20.770607,-19.12797,-10.920559,9.030867,-7.62727,-6.3846345,-15.631632,-7.1878886,-15.60729
AF,i,20,IDS,124.2105320122672,165.6051093355302,-267.8881,142.05295,17.716866,70.72844,-58.90201,-20.391903,9.765559,-16.01604,-10.170624,-0.20828861,-17.058296,-23.552757,1.2795491
AF,a,20,IDS,125.815979795734,70.75854671607829,-281.5704,129.14128,-37.723507,38.570534,-24.539904,-19.582481,1.1388518,15.427124,-13.482498,-13.233079,-27.422235,-3.3940115,-7.012999
AF,u,20,IDS,127.73130089940612,150.5500993959572,-332.09064,153.7732,-5.3161983,3.1197596,-26.389542,-9.390165,-9.542032,-2.4751167,-9.7067585,1.5035248,-34.05236,-16.753258,-2.7367752
AF,a,20,IDS,128.41173506686607,179.15461828116008,-218.04697,124.02373,-5.0717106,36.088078,-39.949158,-13.646101,-0.7190756,3.1635695,-14.306919,11.714591,-18.83561,-13.985917,-7.2171493
AF,u,20,IDS,132.82029474247787,180.6601192751316,-413.1588,149.67575,39.600834,19.191767,-3.1053538,12.197673,-11.320185,-7.494813,-33.1968,-23.230518,-16.842203,-2.055256,-4.4178963
AF,a,20,IDS,140.6918300353858,55.70353677649109,-255.27162,171.63504,-21.067802,38.406223,-7.732177,5.7835474,7.960986,39.06869,-8.091817,-13.162347,-29.664856,-15.773389,-4.6677675
AF,a,20,IDS,144.81701797911742,91.8355606315231,-384.07275,154.79776,28.35072,57.66976,-18.371254,-9.922651,0.34330547,8.718609,-23.80734,-20.53356,-15.50762,3.3561556,-13.912693
AF,u,20,IDS,147.93500037923457,212.2756401482775,-324.4949,138.84796,21.68367,8.374006,7.1436744,3.2186904,-5.534309,-13.049967,-18.861526,15.668011,-20.572428,-13.054796,-22.828968
AF,u,20,IDS,149.56994806368658,121.9455805107259,-355.31006,167.81134,40.666546,-34.907524,-25.495852,2.996704,10.761633,21.666718,-16.136591,-8.112995,-31.615597,-7.4193296,-7.3996944
AF,u,20,IDS,151.28576439883722,132.4840874684412,-271.62292,160.15237,16.275074,-30.314886,-48.669186,14.803274,-23.8761,-27.75365,-30.825432,7.883811,-9.995062,-15.835376,-17.16717
AF,u,20,IDS,160.29174595617127,79.79155267983629,-278.64838,146.23718,-1.537386,-8.679111,-47.31515,8.574826,-11.506219,4.7100935,-11.889496,-0.6928129,-13.838134,1.7829862,-12.831269
AF,a,20,IDS,167.295294954924,108.39607156509601,-274.82547,161.66696,-70.28473,41.295998,-3.9839509,19.258091,-7.178297,-13.8191805,-11.016802,-27.22961,-32.81903,-17.840887,3.226111
AF,a,20,IDS,168.36238350144723,60.2200397583772,-268.5475,120.7131,0.787151,48.356087,-11.545763,-28.231264,7.902906,6.8605857,-8.106897,0.9625309,-12.984975,-5.743913,-20.748522
AF,a,20,IDS,176.2213814122909,79.79155267986471,-313.90646,135.21967,22.494669,19.495092,-2.2526932,-0.2969507,-21.992136,6.8110595,-28.602493,-7.433975,-31.94467,-24.330662,-11.249788
AF,u,20,IDS,176.91993387348805,73.7695487040071,-345.52332,171.21808,-5.2282486,-14.184011,-15.003723,3.3419337,-9.9950695,-26.923306,-26.331997,-1.8166091,-15.526365,-19.788208,-6.7065816
