,file_name,time_start,IPA,F1,F2,F3,spkid,Register,AgeMonth,time_end,duration(ms)
0,AF_VTT_only_ADS_utterances,1.999973207740104,i,423.39350928356254,1216.094063667738,1832.092304051504,AF,ADS,20,2.0620489886943036,62.0757809541998
1,AF_VTT_only_ADS_utterances,2.136802217871544,e,369.8070380919148,1338.508316101939,2130.120838665229,AF,ADS,20,2.1910092378597184,54.2070199881745
2,AF_VTT_only_ADS_utterances,2.822306836628014,æ,595.8156038286995,2094.6040113862528,2922.3796117304323,AF,ADS,20,2.896622912418253,74.316075790239
3,AF_VTT_only_ADS_utterances,3.0242290987596654,i,216.57962093330053,1044.4257344597993,2452.2961020545927,AF,ADS,20,3.059201369719778,34.972270960112695
4,AF_VTT_only_ADS_utterances,5.1476222644711935,ʌ,792.4325242869847,1672.047483278889,2747.566578962597,AF,ADS,20,5.258659224769551,111.03696029835761
5,AF_VTT_only_ADS_utterances,8.834217516623287,e,550.2845002721336,2118.288359113083,2964.479135624817,AF,ADS,20,8.905036365317516,70.8188486942287
6,AF_VTT_only_ADS_utterances,9.49806819214745,ε,842.3240180011094,1867.9775578885008,2517.418784529011,AF,ADS,20,9.565389813745666,67.3216215982162
7,AF_VTT_only_ADS_utterances,10.678221560102656,ɑ,970.7001988861132,1819.1603546277984,2957.2327191031627,AF,ADS,20,10.818110643943108,139.8890838404511
8,AF_VTT_only_ADS_utterances,11.007835213901718,ɑ,874.8461941306919,2099.2959881656006,2997.548629207004,AF,ADS,20,11.102260345494022,94.4251315923043
9,AF_VTT_only_ADS_utterances,12.205079536292644,ɔ,476.76676384109913,1680.8831806006883,2845.2806559779287,AF,ADS,20,12.24092611402676,35.8465777341159
10,AF_VTT_only_ADS_utterances,12.45924581470233,u,506.7239158196488,1227.725786168558,2771.297014816961,AF,ADS,20,12.548425105650617,89.1792909482873
11,AF_VTT_only_ADS_utterances,12.947983301369906,ʌ,730.4401689578007,1653.5145264978355,2335.108572071161,AF,ADS,20,13.01443061619412,66.4473148242148
12,AF_VTT_only_ADS_utterances,13.62066712491503,ɔ,777.9934580234194,1068.8739943882736,1765.5277981520535,AF,ADS,20,13.846238272607758,225.57114769272778
13,AF_VTT_only_ADS_utterances,14.103584406158877,ʌ,808.0800248546944,1470.6642220360052,2893.085975981229,AF,ADS,20,14.218118593553244,114.5341873943674
14,AF_VTT_only_ADS_utterances,14.65002613991064,ɑ,850.3093728553683,1492.0131733288554,2780.072136431448,AF,ADS,20,14.75581725956498,105.7911196543397
15,AF_VTT_only_ADS_utterances,15.291636236231586,ɒ,615.9909658876427,1299.7512830118417,2663.5502188591518,AF,ADS,20,15.42015933201,128.52309577841402
16,AF_VTT_only_ADS_utterances,16.98972112873342,ɒ,755.8456073380355,1308.2793469910562,3033.6759868349804,AF,ADS,20,17.178571391918034,188.8502631846123
17,AF_VTT_only_ADS_utterances,18.19478610415211,ʌ,725.7383261903664,1485.7204969401446,2817.8548449656023,AF,ADS,20,18.266479259620343,71.6931554682318
18,AF_VTT_only_ADS_utterances,18.553581524639043,ʌ,707.9662742636058,1428.437525977581,2639.716845987957,AF,ADS,20,18.693470608479494,139.8890838404511
19,AF_VTT_only_ADS_utterances,18.723634192182598,ε,720.3242264949517,1623.160935763769,2966.0225402443584,AF,ADS,20,18.797950267972837,74.3160757902394
20,AF_VTT_only_ADS_utterances,19.00253805308949,ɑ,935.6192627664992,1927.9699744323405,2923.8201525100576,AF,ADS,20,19.08209996952375,79.5619164342582
21,AF_VTT_only_ADS_utterances,19.53247030960732,i,447.6420227805158,2803.96504762238,3555.215990693809,AF,ADS,20,19.61028361249357,77.8133028862519
22,AF_VTT_only_ADS_utterances,20.38555513499572,ʌ,615.8140745567176,1562.8092309943447,2769.1419857900078,AF,ADS,20,20.422276019503837,36.7208845081172
23,AF_VTT_only_ADS_utterances,20.96822119756564,ɔ,682.4408399189396,1559.0809820153106,2354.388790473489,AF,ADS,20,21.040788659807873,72.5674622422332
24,AF_VTT_only_ADS_utterances,25.383912437254683,i,442.6896813106253,676.4363431434073,2737.235479482832,AF,ADS,20,25.428252874186324,44.3404369316411
25,AF_VTT_only_ADS_utterances,25.51907925306241,ə,572.7752411237343,1759.9270622011263,2125.0650367012595,AF,ADS,20,25.583444403447047,64.3651503846349
26,AF_VTT_only_ADS_utterances,25.65696061830775,i,536.0676220565941,1062.2574755030732,2076.3159321925787,AF,ADS,20,25.723471273705204,66.5106553974546
27,AF_VTT_only_ADS_utterances,26.068897580769416,ʌ,733.8397049290618,1482.355822716342,1688.5360995609983,AF,ADS,20,26.22551944670536,156.6218659359428
28,AF_VTT_only_ADS_utterances,27.90378746479228,ε,987.6869037901652,1944.159635290788,2928.448238478411,AF,ADS,20,28.02107507215984,117.2876073675581
29,AF_VTT_only_ADS_utterances,28.37301182021075,a,983.2430194738542,1771.7006825498386,2856.4808275772857,AF,ADS,20,28.497451110954376,124.4392907436271
30,AF_VTT_only_ADS_utterances,28.936487113486155,a,917.2294336081866,1645.023422663769,2810.4651273198133,AF,ADS,20,29.034465175738323,97.9780622521673
31,AF_VTT_only_ADS_utterances,29.67691327954855,ə,865.2448441746698,1711.3647961894776,3175.085441554847,AF,ADS,20,29.723399221493008,46.4859419444572
32,AF_VTT_only_ADS_utterances,31.16991831461829,e,480.1351456452569,2239.244109299116,3122.22864526384,AF,ADS,20,31.21354358321232,43.625268594031
33,AF_VTT_only_ADS_utterances,31.37321694757716,i,548.8111495583527,2799.8697051653926,3360.891637780771,AF,ADS,20,31.436866929624188,63.6499820470284
