,file_name,time_start,IPA,F1,F2,F3,spkid,Register,AgeMonth,time_end
0,AF_BTT_only_IDS_utterances,0.3689109951241385,a,679.3040340817104,2122.0135724214106,2852.5826387991874,AF,IDS,20,0.4381640408462715
1,AF_BTT_only_IDS_utterances,0.606944219047834,e,835.5752954393905,2316.133405705956,3129.6963229975377,AF,IDS,20,0.6551202508545353
2,AF_BTT_only_IDS_utterances,1.1045122975514214,u,571.9658664843745,1719.5008627849627,2765.031169608269,AF,IDS,20,1.1481718263762446
3,AF_BTT_only_IDS_utterances,1.2586620825541526,ɑ,694.7264567412743,1159.3766201103092,2188.040894789693,AF,IDS,20,1.3520031441796363
4,AF_BTT_only_IDS_utterances,2.157774388277212,æ,631.1037506401995,2244.8064112945704,3023.781699323644,AF,IDS,20,2.2309293665405496
5,AF_BTT_only_IDS_utterances,2.3440110462515364,ʌ,737.4109722017544,1838.2470851146452,2501.292808167309,AF,IDS,20,2.4343411058891014
6,AF_BTT_only_IDS_utterances,6.087069859848887,e,527.2494511823642,1670.9308870078758,2901.590304566847,AF,IDS,20,6.133740390661629
7,AF_BTT_only_IDS_utterances,6.395959419851201,ɑ,644.3845359309312,2216.1837783709034,3035.0620726681914,AF,IDS,20,6.460172250110188
8,AF_BTT_only_IDS_utterances,6.576881395366964,ʌ,809.8775605129987,1027.206469759408,1750.372137940871,AF,IDS,20,6.653661946058894
9,AF_BTT_only_IDS_utterances,12.70103660589469,o,418.3775041436903,1623.046555453668,2738.54095419904,AF,IDS,20,12.747707136707431
10,AF_BTT_only_IDS_utterances,13.39849629172268,e,377.7348164655563,1095.803399875786,2448.764091280384,AF,IDS,20,13.435697175815342
11,AF_BTT_only_IDS_utterances,13.731092786750091,ʌ,702.6756924163042,1681.7150188734224,2711.250287207589,AF,IDS,20,13.78830182452055
12,AF_BTT_only_IDS_utterances,14.114995540209744,ɔ,788.8622912920389,1627.91698197935,2815.0917766027023,AF,IDS,20,14.175215579968121
13,AF_BTT_only_IDS_utterances,15.369142331149376,ø,643.914269838177,2060.598974101655,2635.678433116748,AF,IDS,20,15.432373372895672
14,AF_BTT_only_IDS_utterances,15.501042186545645,e,384.116087838982,1728.000848182442,2624.396596523616,AF,IDS,20,15.56126222630402
15,AF_BTT_only_IDS_utterances,16.214247141529036,i,290.4439261537786,2482.164869664569,3045.202269139401,AF,IDS,20,16.265434175323655
16,AF_BTT_only_IDS_utterances,16.425770031180335,ε,485.05918020963423,1192.8589786385826,2598.4059122904746,AF,IDS,20,16.48749557193267
17,AF_BTT_only_IDS_utterances,19.477017013450407,o,711.9896710016108,1390.2266422199132,2893.773111345491,AF,IDS,20,19.559819568118176
18,AF_BTT_only_IDS_utterances,20.100592885649604,o,413.0752456463642,1085.4819906358505,2662.503893528085,AF,IDS,20,20.178878937335494
19,AF_BTT_only_IDS_utterances,20.30835202281601,i,476.3740457369408,2459.225465507646,3119.969807199584,AF,IDS,20,20.389649076489818
20,AF_BTT_only_IDS_utterances,20.49630564933237,e,639.1218988762978,1126.2344702856717,2349.674970536165,AF,IDS,20,20.54297618014511
21,AF_BTT_only_IDS_utterances,22.641553199598988,ɔ,635.3109218453058,970.453321665626,2225.994585840323,AF,IDS,20,22.704784241345283
22,AF_BTT_only_IDS_utterances,23.45604192665886,o,591.194797230083,977.3161449707414,2599.4383905309737,AF,IDS,20,23.546371986296425
23,AF_BTT_only_IDS_utterances,23.649498804382645,e,398.8218331617047,1076.3380684606084,2513.899090303126,AF,IDS,20,23.741334365014172
24,AF_BTT_only_IDS_utterances,26.97139842054964,ɑ,818.2559058668792,1812.320676575849,2953.5030367674008,AF,IDS,20,27.013552448380505
25,AF_BTT_only_IDS_utterances,27.02785470782312,u,606.578007838854,1612.0408367017897,2596.986731417808,AF,IDS,20,27.074525238635864
26,AF_BTT_only_IDS_utterances,27.18066305871,ɔ,784.265897118059,1554.931683850862,2660.4631105532726,AF,IDS,20,27.26497111437173
27,AF_BTT_only_IDS_utterances,27.64511011534648,ɑ,856.9799181883681,1605.4017757976465,2189.394323562304,AF,IDS,20,27.703824654110896
28,AF_BTT_only_IDS_utterances,27.944081496756453,ʌ,547.1653403064437,966.291599534972,1892.7430816159847,AF,IDS,20,28.00279603552087
29,AF_BTT_only_IDS_utterances,28.388100234521104,ø,612.6314634655728,1987.2954870239323,2634.324422672858,AF,IDS,20,28.487463300122425
30,AF_BTT_only_IDS_utterances,28.57553510826905,i,503.3883645917131,2718.7709978208272,3211.150550133093,AF,IDS,20,28.667370668900574
31,AF_BTT_only_IDS_utterances,28.918789334891805,o,565.8781905539186,891.2826348501815,2451.027595676121,AF,IDS,20,29.0377239134146
32,AF_BTT_only_IDS_utterances,29.2086500498726,ɑ,1151.8437673645649,1731.3197744377464,2079.289011849326,AF,IDS,20,29.36522215324438
33,AF_BTT_only_IDS_utterances,29.597069306314133,i,539.2326300886386,2742.261113599263,3166.784189564652,AF,IDS,20,29.654278344084588
34,AF_BTT_only_IDS_utterances,29.917935423274116,o,444.07295973943343,885.2877894107521,2592.185433231281,AF,IDS,20,30.08052953062173
35,AF_BTT_only_IDS_utterances,31.265306531058027,o,803.0666315781604,1501.757585179166,2999.367651479941,AF,IDS,20,31.345098083737877
36,AF_BTT_only_IDS_utterances,31.479463793365674,ʌ,863.4721554517839,1758.5066477001253,2941.642558045549,AF,IDS,20,31.56828835200928
37,AF_BTT_only_IDS_utterances,31.87766880626794,a,1142.775964635969,1350.5543468788546,1818.079956978676,AF,IDS,20,31.9348778440384
