,Unnamed: 0,file_name,spkid,AgeMonth,ParentGender,Register,time_start,time_end,IPA,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
0,0,AF_VTT_only_ADS_utterances,AF,20,M,ADS,1.999973207740104,2.062048988694304,i,-291.1889953613281,108.79608154296876,42.12004852294922,30.587759017944336,20.348482131958008,-0.0119761740788817,-33.41074752807617,0.6288208365440369,-13.351157188415527,-9.33413028717041,-19.45591163635254,9.401755332946776,-3.737716197967529
1,1,AF_VTT_only_ADS_utterances,AF,20,M,ADS,2.136802217871544,2.1910092378597184,e,-306.0769958496094,123.56641387939452,28.470802307128903,53.00904846191406,7.424326419830322,-9.977187156677246,-22.81887626647949,-0.4498771727085113,-23.618688583374023,-13.634661674499512,-10.071182250976562,-3.9531524181365967,-8.911808013916016
2,2,AF_VTT_only_ADS_utterances,AF,20,M,ADS,2.822306836628014,2.896622912418253,æ,-244.01760864257807,125.4726104736328,8.708389282226562,42.53353118896485,1.4325958490371704,-1.5210180282592771,-4.621665954589844,-3.3895206451416016,-5.040779113769531,-11.171794891357422,-12.379558563232422,-8.418435096740723,-10.528732299804688
3,3,AF_VTT_only_ADS_utterances,AF,20,M,ADS,3.0242290987596654,3.059201369719778,i,-228.90187072753903,109.61857604980467,6.838380336761475,39.2672119140625,-9.46830940246582,-23.71865463256836,-19.958467483520508,0.6601011753082275,-19.21909523010254,-7.818060874938965,4.6602559089660645,-5.661468029022217,-7.666060924530029
4,4,AF_VTT_only_ADS_utterances,AF,20,M,ADS,5.1476222644711935,5.258659224769551,ʌ,-230.20347595214844,114.89022064208984,-40.32224655151367,29.63221549987793,-0.3480592668056488,-6.479481220245361,-13.715540885925291,-0.3751681745052337,1.982666611671448,8.029644966125488,-29.42683982849121,-7.822510242462158,-3.3254811763763428
5,5,AF_VTT_only_ADS_utterances,AF,20,M,ADS,8.834217516623287,8.905036365317516,e,-252.20431518554688,108.12860870361328,-22.213356018066406,55.95937347412109,-41.526397705078125,-18.7810115814209,-26.17573928833008,11.098154067993164,-25.256912231445312,-13.817535400390623,-9.947502136230469,-18.70860290527344,6.497827529907227
6,6,AF_VTT_only_ADS_utterances,AF,20,M,ADS,9.49806819214745,9.565389813745666,ε,-232.68235778808597,109.74153900146484,-40.38105392456055,20.1214656829834,13.617594718933104,0.3658771514892578,-20.873699188232425,9.54359245300293,-12.230633735656738,-9.206482887268066,-9.771059036254885,-15.20689868927002,-11.832369804382324
7,7,AF_VTT_only_ADS_utterances,AF,20,M,ADS,10.678221560102656,10.818110643943108,ɑ,-239.8627014160156,122.8457260131836,-36.91321563720703,16.248661041259766,-9.640762329101562,14.372267723083496,-13.94417667388916,-2.4919445514678955,5.251354217529297,-7.426100254058838,-23.4803524017334,-9.992365837097168,-12.973301887512209
8,8,AF_VTT_only_ADS_utterances,AF,20,M,ADS,11.007835213901718,11.102260345494022,ɑ,-253.6004943847656,110.68840026855467,-27.701160430908203,47.54742050170898,-19.14399528503418,-21.932147979736328,5.01337480545044,11.83450698852539,-12.544221878051758,-6.432943820953369,-13.243884086608888,-15.582372665405272,-18.87731170654297
9,9,AF_VTT_only_ADS_utterances,AF,20,M,ADS,12.205079536292644,12.24092611402676,ɔ,-252.31854248046875,121.12834167480467,18.862285614013672,40.816505432128906,4.657181262969971,-4.735440731048584,-17.567838668823242,-24.51946258544922,2.881927967071533,-0.5045723915100098,-12.546443939208984,-4.891572952270508,-3.756672382354736
10,10,AF_VTT_only_ADS_utterances,AF,20,M,ADS,12.45924581470233,12.548425105650615,u,-312.5799560546875,148.12136840820312,27.087705612182617,17.05589485168457,-15.808371543884276,-4.994391918182373,-13.388063430786133,-24.14676284790039,-15.88779067993164,-11.028132438659668,1.11882483959198,-17.304780960083008,-5.801796913146973
11,11,AF_VTT_only_ADS_utterances,AF,20,M,ADS,12.947983301369906,13.01443061619412,ʌ,-183.97659301757807,130.41452026367188,-67.53199768066406,10.46611785888672,-7.366153717041016,-1.5963211059570312,-9.86287784576416,-1.3287380933761597,-2.401075839996338,-12.95128345489502,-28.633529663085938,-14.801125526428224,-7.101798057556152
12,12,AF_VTT_only_ADS_utterances,AF,20,M,ADS,13.62066712491503,13.846238272607758,ɔ,-306.4034118652344,169.82852172851562,1.0666123628616333,-20.51758575439453,-37.1870346069336,-11.58908462524414,-0.1966785937547683,-14.720624923706056,-2.146570920944214,-13.847145080566406,-11.783975601196287,-5.074350357055664,-22.90650749206543
13,13,AF_VTT_only_ADS_utterances,AF,20,M,ADS,14.103584406158877,14.218118593553244,ʌ,-278.5947570800781,131.08831787109375,-55.68904113769531,-1.932360053062439,-7.992480754852295,0.2775102853775024,-5.849404811859131,0.5066314935684204,-0.7989329695701599,12.45134449005127,-28.13185691833496,-27.832176208496094,-5.232831001281738
14,14,AF_VTT_only_ADS_utterances,AF,20,M,ADS,14.65002613991064,14.75581725956498,ɑ,-260.3288269042969,139.65476989746094,-23.54470634460449,-1.9670958518981931,-20.925899505615234,-2.0403969287872314,-0.4325775802135467,2.0098462104797363,-13.83872413635254,9.194571495056152,-19.98478889465332,-16.952136993408203,-7.966299057006836
15,15,AF_VTT_only_ADS_utterances,AF,20,M,ADS,15.291636236231586,15.42015933201,ɒ,-300.7809753417969,151.72164916992188,-7.5013604164123535,2.1964800357818604,-7.237624645233154,-11.637003898620604,-2.595635414123535,4.729437828063965,-20.482017517089844,6.365930557250977,-11.835989952087402,-2.0620274543762207,-6.158227920532227
16,16,AF_VTT_only_ADS_utterances,AF,20,M,ADS,16.98972112873342,17.178571391918034,ɒ,-292.7410583496094,157.30543518066406,46.17667770385742,-31.65626335144043,-45.298736572265625,14.354116439819336,-2.7149248123168945,4.237020015716553,-26.005661010742188,11.93261432647705,-24.845447540283203,-10.216290473937988,-13.654618263244627
17,17,AF_VTT_only_ADS_utterances,AF,20,M,ADS,18.19478610415211,18.266479259620343,ʌ,-167.78811645507812,122.19354248046876,-46.59004211425781,13.48845672607422,-34.17447662353516,-1.044179916381836,-2.538306713104248,-6.690410614013672,4.265399932861328,20.15979385375977,-16.154949188232422,-7.420040607452393,-0.8886861801147461
18,18,AF_VTT_only_ADS_utterances,AF,20,M,ADS,18.553581524639043,18.69347060847949,ʌ,-235.48194885253903,93.65773010253906,10.8079195022583,-8.956830024719238,-16.865739822387695,1.3586997985839844,-3.38077974319458,-12.757794380187988,-17.482723236083984,16.8817138671875,8.563458442687988,-3.364737272262573,-8.444990158081055
19,19,AF_VTT_only_ADS_utterances,AF,20,M,ADS,18.7236341921826,18.79795026797284,ε,-224.74371337890625,153.2918701171875,-26.87986183166504,-18.149333953857425,-19.689105987548828,-7.76986026763916,-16.172849655151367,-10.174758911132812,9.966428756713867,18.84032440185547,-2.915590763092041,-8.856834411621094,-4.907281875610352
20,20,AF_VTT_only_ADS_utterances,AF,20,M,ADS,19.00253805308949,19.08209996952375,ɑ,-230.39010620117188,130.11831665039062,-27.815492630004883,30.1202392578125,-28.018835067749023,-6.184721946716309,1.079942226409912,0.8706376552581787,-14.98538589477539,-29.64359664916992,-7.635337829589844,-0.2704823017120361,-12.657662391662598
21,21,AF_VTT_only_ADS_utterances,AF,20,M,ADS,19.53247030960732,19.61028361249357,i,-224.14602661132807,102.44998168945312,10.893150329589844,41.075286865234375,-12.889566421508787,6.235886096954346,-17.10992431640625,-20.91455078125,-3.502586841583252,1.513094425201416,-19.210182189941406,-4.524243354797363,-4.115601539611816
22,22,AF_VTT_only_ADS_utterances,AF,20,M,ADS,20.38555513499572,20.42227601950384,ʌ,-199.4452362060547,150.8850555419922,3.971203804016113,15.907773971557615,-7.528133392333984,-2.3234405517578125,-12.08777904510498,-11.959746360778809,-14.944528579711914,-2.1775906085968018,-12.436590194702148,-12.202713966369627,-3.382777214050293
23,23,AF_VTT_only_ADS_utterances,AF,20,M,ADS,20.96822119756564,21.04078865980788,ɔ,-287.6449584960937,176.03814697265625,-20.250667572021484,19.81256675720215,12.708022117614746,-3.832638740539551,-22.388324737548828,-5.914928913116455,-8.404205322265625,-14.093423843383787,-6.572285175323486,-17.84173583984375,-4.920321464538574
24,24,AF_VTT_only_ADS_utterances,AF,20,M,ADS,25.383912437254683,25.428252874186324,i,-277.1495361328125,115.7529525756836,27.928295135498047,47.13225173950195,-18.937650680541992,-3.375585556030273,-13.288142204284668,-17.769319534301758,-17.515987396240234,-8.378293991088867,-3.1697726249694824,-14.38695240020752,2.9114811420440674
25,25,AF_VTT_only_ADS_utterances,AF,20,M,ADS,25.51907925306241,25.583444403447047,ə,-257.7616882324219,156.52566528320312,-9.606474876403809,51.72848510742188,-17.943387985229492,-16.53156089782715,-24.575225830078125,-11.123563766479492,2.72869610786438,-7.4911885261535645,-3.8644635677337646,-9.029415130615234,3.3394134044647217
26,26,AF_VTT_only_ADS_utterances,AF,20,M,ADS,25.65696061830775,25.723471273705204,i,-339.8796691894531,157.08152770996094,8.38594913482666,49.83919143676758,5.861208438873291,-15.660776138305664,-28.56931495666504,-5.630253314971924,-9.282404899597168,-6.820279598236084,5.169449329376221,-9.869956970214844,2.3622853755950928
27,27,AF_VTT_only_ADS_utterances,AF,20,M,ADS,26.068897580769416,26.22551944670536,ʌ,-289.51788330078125,124.10395050048828,-18.00559425354004,-16.395671844482422,2.792836904525757,9.835896492004396,-12.583412170410156,-8.671993255615234,4.456333637237549,9.424731254577637,-13.377147674560549,-4.372665882110596,2.309532165527344
28,28,AF_VTT_only_ADS_utterances,AF,20,M,ADS,27.90378746479228,28.02107507215984,ε,-209.21405029296875,78.4103775024414,-4.630444049835205,17.641996383666992,10.30858325958252,7.031734943389893,-5.934158802032471,1.862159252166748,0.098720945417881,-0.0606534481048584,-13.696991920471191,-3.9234440326690674,-10.794979095458984
29,29,AF_VTT_only_ADS_utterances,AF,20,M,ADS,28.37301182021075,28.497451110954376,a,-224.40684509277344,95.16622924804688,-12.901673316955566,-8.377472877502441,5.361912727355957,4.46492338180542,0.6443456411361694,11.190348625183104,7.2228264808654785,5.940898418426514,-17.05107879638672,0.5938518047332764,-2.1898319721221924
30,30,AF_VTT_only_ADS_utterances,AF,20,M,ADS,28.936487113486155,29.034465175738323,a,-226.76370239257807,146.61289978027344,-5.67364501953125,3.8933379650115967,-0.8377022743225098,9.571710586547852,-0.7029344439506531,-3.284563541412353,3.808682918548584,5.490786552429199,-14.430803298950195,-11.473435401916504,-15.2879638671875
31,31,AF_VTT_only_ADS_utterances,AF,20,M,ADS,29.67691327954855,29.723399221493008,ə,-218.6416015625,133.83836364746094,-11.07124137878418,8.659586906433105,11.132240295410156,11.75806999206543,-10.822931289672852,-1.0694949626922607,4.890795230865479,-11.489503860473633,-37.18476486206055,-13.505615234375,-12.747319221496582
32,32,AF_VTT_only_ADS_utterances,AF,20,M,ADS,31.16991831461829,31.21354358321232,e,-260.0818786621094,97.98836517333984,14.40224266052246,65.49775695800781,-39.44179916381836,-4.287130832672119,-12.369085311889648,-9.887495040893556,-17.147897720336914,-10.60548496246338,-3.9080657958984375,-16.521869659423828,8.59565544128418
33,33,AF_VTT_only_ADS_utterances,AF,20,M,ADS,31.37321694757716,31.436866929624188,i,-289.6039733886719,79.6037368774414,21.70193099975586,66.5498275756836,-48.436798095703125,5.58344030380249,-0.6785736680030823,-12.387614250183104,-13.026453971862791,-5.363216400146484,-20.84015274047852,-22.137420654296875,9.539158821105955
34,34,AF_VTT_only_ADS_utterances,AF,20,M,ADS,32.503988874736606,32.54975964834345,e,-369.9437561035156,129.95785522460938,12.2283935546875,57.7202033996582,-21.840784072875977,-7.784623146057129,8.866336822509766,6.653724670410156,-17.432819366455078,-2.693692684173584,-21.05670547485352,-24.630931854248047,6.684726715087891
35,35,AF_VTT_only_ADS_utterances,AF,20,M,ADS,33.52359250540776,33.579049166458,ɶ,-219.5522308349609,102.66854095458984,-28.27313804626465,17.48933982849121,-16.61834144592285,-2.3574531078338623,-31.757349014282227,7.484801769256592,8.232234954833984,-0.3917137682437897,-14.839381217956545,-0.6220345497131348,-12.506571769714355
36,36,AF_VTT_only_ADS_utterances,AF,20,M,ADS,35.550509083511045,35.608738577613785,ɑ,-244.2216644287109,139.2975616455078,-36.535377502441406,60.891937255859375,-32.21916580200195,-27.09312438964844,-12.37790298461914,10.069463729858398,-3.640878915786743,-4.298698425292969,-4.216293811798096,-16.97597312927246,-3.723250389099121
37,37,AF_VTT_only_ADS_utterances,AF,20,M,ADS,35.7106401922936,35.78412026818516,i,-302.543701171875,87.47119140625,24.073387145996094,80.22209930419922,-35.8150520324707,3.638775825500488,0.2786670923233032,-16.22631072998047,-14.387823104858398,7.046960830688477,-17.779504776000977,-21.27276992797852,5.100390434265137
38,38,AF_VTT_only_ADS_utterances,AF,20,M,ADS,35.960195167019656,36.036448075963726,e,-207.1449432373047,99.01505279541016,-24.012840270996094,88.46220397949219,-44.09180450439453,-25.24005889892578,-4.959381103515625,-17.767234802246094,-15.98573112487793,2.82519793510437,3.136111259460449,-11.458210945129396,-9.307363510131836
39,39,AF_VTT_only_ADS_utterances,AF,20,M,ADS,36.92791390234623,36.97643848076519,a,-228.9225616455078,132.94012451171875,-25.6820011138916,36.35192108154297,2.03641128540039,-17.14019775390625,4.287432670593262,20.59624290466309,-4.104753017425537,-5.315971851348877,-3.485193252563477,-8.944507598876953,-16.41634750366211
